Time_Step,Time_s,FR_hip_torque,FR_hip_angle_deg,FR_knee_torque,FR_knee_angle_deg,FR_foot_torque,FR_foot_angle_deg,BR_hip_torque,BR_hip_angle_deg,BR_knee_torque,BR_knee_angle_deg,BR_foot_torque,BR_foot_angle_deg,BL_hip_torque,BL_hip_angle_deg,BL_knee_torque,BL_knee_angle_deg,BL_foot_torque,BL_foot_angle_deg,FL_hip_torque,FL_hip_angle_deg,FL_knee_torque,FL_knee_angle_deg,FL_foot_torque,FL_foot_angle_deg
0,0.0,0.3272415896571104,-15.984189396427956,0.7753383439340193,38.24555411762909,0.9647820106934268,40.12564554828289,0.21884771388076568,8.290192502187299,0.8417330245852543,37.55031456955403,1.044457503188256,40.690871500531074,0.27803306973815983,-14.552743804713923,0.7776402107829223,-39.41124206416508,1.0034590687768676,-43.14633923832318,0.23204525770186554,8.661423650235774,0.8185589366676757,-38.65229094475633,1.0102568319906318,-39.51189611751583
1,0.02,0.32729857029169973,-15.9845823511727,0.7755148625388332,38.24555411762909,0.964612557887785,40.12562916926439,0.2189629996083921,8.289700687787125,0.841798429167713,37.547594310869066,1.0444667864920947,40.689529885872716,0.2772954627027977,-14.552743804715965,0.7776337996890847,-39.41000797022397,1.0034701410008309,-43.14505329945635,0.23152536329787107,8.661503075141042,0.8187404344882011,-38.651225344915254,1.0100792722996341,-39.51189611746474
2,0.04,0.3281670959568892,-15.984582351173705,0.7756805048695324,38.24428188532397,0.9664537022439554,40.12562916926439,0.2151820273525065,8.28952980671679,0.8418645956883803,37.54598583075346,1.044470067613503,40.6879040567058,0.2786311476040647,-14.552743804715965,0.7778631966394843,-39.40784099040756,1.0034733053669738,-43.144778536036924,0.22911852629112472,8.661502980852532,0.8190920562389076,-38.651150765941786,1.0121706483407025,-39.511896117437004
3,0.06,0.3331026137117127,-15.984582351173705,0.7759335761350786,38.244223095027415,0.9659210493677334,40.12552216071103,0.21067927833899347,8.289529988814737,0.8421083758185972,37.54496732087434,1.0444759818943348,40.68757766458639,0.28323469638879706,-14.552743508583529,0.7780943258744066,-39.40756357949132,1.0034805187687603,-43.14418040034169,0.23916642655628917,8.661502107834641,0.8193735726740626,-38.651150765941786,1.0122602481430385,-39.511896117381056
4,0.08,0.3302426158548211,-15.984582351177338,0.7761538812808289,38.244223095027415,0.9663818262767895,40.12551972891202,0.20911684942262765,8.289533445673195,0.8422599318324355,37.544255143955176,1.044483067319187,40.68697145365831,0.2820133483544303,-14.552743508583529,0.7782649909237699,-39.40531263610958,1.0034885319600628,-43.14341520493282,0.23695221885947002,8.661502107834641,0.8196545886455023,-38.65063891572902,1.0127682382921794,-39.51189611731848
5,0.1,0.3289524959760941,-15.98458235118281,0.7763616754264329,38.24381606693099,0.9664747377240928,40.12549579548543,0.20917571934580434,8.289533445673195,0.8423663963917916,37.544255143955176,1.0444902521099968,40.685736500896745,0.2836054404376128,-14.552743508576478,0.7784011896960183,-39.403879806765865,1.0034964698419904,-43.14295508904963,0.23780374064477963,8.6615014328562,0.8199338673720532,-38.6504750285828,1.0133565676633167,-39.511896117247986
6,0.12,0.3284531264125151,-15.98458235118281,0.7765978133353733,38.24350980722983,0.9664171639863554,40.12493231923228,0.2092328427718698,8.289611745895638,0.8424121030745024,37.54023697755785,1.0444974769833177,40.68397880102469,0.28510214824053265,-14.552646821124355,0.7784459434507857,-39.402572637438304,1.003504467231706,-43.14120348232503,0.2393078548505324,8.661486941585757,0.8202093481600744,-38.6504750285828,1.0138195792636853,-39.51189611718171
7,0.14,0.3288678551189963,-15.984582351189395,0.7766219113035371,38.241535778892796,0.9664929097775479,40.12380059317776,0.20927071867395133,8.289723837821674,0.8421613999559503,37.53505137951135,1.0445076838325797,40.681001052578544,0.28458865608747724,-14.552644919927573,0.7783605218262799,-39.39822869292592,1.0035108510574728,-43.14059009336249,0.2393617153936891,8.661412851239431,0.8204399206671135,-38.649404690055164,1.0145430968654645,-39.51189611708014
8,0.16,0.32977627127485787,-15.984582351189395,0.7766901247784288,38.23970282457297,0.9665039444149138,40.12231262028238,0.20929609656886933,8.289980143829252,0.8420690102226551,37.53002163775618,1.0445139714456593,40.67930520035966,0.282947510072409,-14.552644919927573,0.778368204393681,-39.39647919565193,1.003512775724255,-43.13952805668764,0.23943886873884304,8.661078855715946,0.8206528658122133,-38.64847440068734,1.0146765075102846,-39.511896117041616
9,0.18,0.3293105290170185,-15.984582351203542,0.7767904840522372,38.23970282457297,0.9665135486377819,40.120668324013295,0.20932334433559802,8.290449248168345,0.8420721927603241,37.52738063598908,1.0445198398119881,40.67682941983922,0.28312682030800407,-14.552644919919612,0.7784430037860054,-39.39647919565193,1.0035156347968937,-43.13846040171951,0.23951555686223497,8.660871546563051,0.8208690981193244,-38.64847440068734,1.015048410892287,-39.511896116918095
10,0.2,0.3285208337688016,-15.98462547050093,0.7769842856378952,38.2378041125423,0.9665153352106415,40.12052431327341,0.2093884970787467,8.290449248168345,0.8421633635004722,37.5255414893488,1.0445222743704237,40.676510700554225,0.28072278049283783,-14.552644919920102,0.7785901492084942,-39.390489701239154,1.003524929011921,-43.13820270756911,0.23895547668709466,8.660765335759738,0.821161831317364,-38.64721525185423,1.0153823897559875,-39.511896116918095
11,0.22,0.3291150027659133,-15.772817214411349,0.7772381214750813,39.06623079676156,0.9665248347657012,40.390467704842976,0.2094337882982871,11.566325047564973,0.8423673595390286,39.48838349215881,1.0445294401199632,45.470264960029105,0.2781269326819187,-13.302146267199364,0.7787342628147242,-39.36659813667456,1.003529450838141,-44.267290584927444,0.2396217056526576,8.97994147360587,0.8213983349832582,-38.563998775887924,1.014462953904116,-39.511896116918095
12,0.24,0.5528340976529968,-15.977816497925232,0.8616294293295599,38.90289281472019,0.9733070153548496,39.57357329067678,0.12920448669452672,14.752556526386927,0.5699142211609032,46.380492812035776,0.5821581047439007,45.470264960029105,0.4196480001290747,-11.501443770970745,0.82989450066267,-39.443645377973425,0.9827457438128081,-44.267290584927444,0.20673896820711746,10.133072517272238,0.6778589290899446,-37.800962144603304,0.6558879940892246,-50.072878621692084
13,0.26,0.40345672300019814,-17.40526712152217,0.7856418630240324,38.90289281472019,0.9747147502828469,39.498322286955144,0.1265316666696399,15.559346808159885,0.5038336018968413,52.38487858932902,0.5251239169072476,57.45654204877267,0.4837704526056295,-10.591034138265337,0.7731641225878081,-39.19343580308876,0.9870269609008312,-44.998144792229844,0.18808694440397705,10.943105898700853,0.5197992083992329,-36.45591499734134,0.5350845337376029,-50.072878621692084
14,0.28,0.3515633537564224,-17.87377671966884,0.6948417990340743,37.94177842934087,0.9707894093469382,38.91121508639118,0.25382740951690747,16.03469246888252,0.5978743885466246,54.344472274861275,0.6562391878603849,61.95139595503435,0.46285591216464445,-10.591034138265337,0.8050562100079782,-39.19343580308876,1.0017316321048708,-44.610425204937705,0.19437060029964448,10.943105898700853,0.5657386289291398,-36.883806460803214,0.8565785959013484,-55.70610129159695
15,0.3,0.36684042154804586,-17.833086722059026,0.7156445548618893,37.76527709543075,0.958506925404899,38.91121508639118,0.2598422180460699,16.001855010283585,0.6222399548201973,56.01091463682362,0.698536455490207,69.6860009376972,0.4745830757561611,-10.280156739069392,0.7303592003004007,-38.915156132409514,1.001295090066761,-44.090731845811234,0.17879356103477437,11.14173602599076,0.7781985410137563,-38.310809724691524,0.7592890503763511,-56.119877045734796
16,0.32,0.4188913692431912,-17.0421916798568,0.701001119912118,37.774963608359414,0.9585018423120424,39.36019229419575,0.31345881823804767,19.038357102135024,0.5265252379065932,56.941958183298304,0.8851439875964285,69.76135309633725,0.4551588812785796,-9.949439420920811,0.6591095629769677,-38.19596089308683,0.999806512555198,-43.94142735914099,0.17808287116465643,11.950064343288126,0.792009995332199,-38.310809724691524,0.8065472415867326,-56.29574128270757
17,0.34,0.7296153792865584,-16.898192163353798,0.7839914468249813,37.774963608359414,0.9598542758887126,39.28066079137091,0.6380180291507315,19.038357102135024,0.4999638595901377,57.142449253160855,0.8946446215113869,72.78375745924652,0.4035095432443973,-9.288509332059418,0.7029783224506027,-38.15330581581344,0.9839352748958303,-44.36283941952602,0.27703640239032856,12.125982950672968,0.753808584288359,-38.63645029345858,0.9234525613551281,-56.385596580653065
18,0.36,0.7537867573688225,-16.649165583033778,0.7980613549652098,38.4730910891477,0.9744739689023698,38.73188550361127,0.6853679743417472,20.39661583351715,0.5674507269566653,57.38567074715414,0.900631272490811,72.62170445642883,0.4172181643410608,-8.858184149170537,0.7905051785530025,-38.15330581581344,0.9785175322348174,-46.02860986717279,0.3092146130116555,12.136880932279325,0.7451780095441743,-38.65677263401449,0.9124337510001755,-56.574835668589
19,0.38,0.767238881577018,-16.37745718797932,0.7925730486445823,38.520017257036514,0.9770059973693659,38.24282374866913,0.6553190119603571,20.39661583351715,0.5869317063592416,57.6341935090413,0.8995237284498604,72.61232902821075,0.3841361110743053,-8.95440581469642,0.8141121422637515,-38.69041738216514,0.9772499461144339,-46.02860986717279,0.3513100194995836,11.737939334662583,0.7514348177090153,-38.69523596853819,0.915224218886756,-56.63664444095305
20,0.4,0.7743001979338274,-16.31146021699934,0.7820114446616739,38.52000835073156,0.977035669978905,37.95115615192979,0.6435127595098991,20.903609418546594,0.5795286126783853,57.69191151069763,0.8890949173322042,72.62656634791624,0.36948886062410563,-9.038059703247844,0.8086953894311962,-38.69041738216514,0.9779098097590855,-46.811575913424804,0.37116963953254123,11.559304159509244,0.7542328083307902,-38.71176171910306,0.9320986729228664,-56.635108037794396
