Time_Step,Time_s,FR_hip_command,FR_hip_state,FR_knee_command,FR_knee_state,FR_foot_command,FR_foot_state,BR_hip_command,BR_hip_state,BR_knee_command,BR_knee_state,BR_foot_command,BR_foot_state,BL_hip_command,BL_hip_state,BL_knee_command,BL_knee_state,BL_foot_command,BL_foot_state,FL_hip_command,FL_hip_state,FL_knee_command,FL_knee_state,FL_foot_command,FL_foot_state
0,0.1,-19.274387356634314,-15.984582351189395,31.33579894564477,38.243737591612586,69.84580756625935,40.125263812041844,10.007979801441346,8.289611745895638,29.895677214181863,37.54085341497553,61.792656183251545,40.68555275480324,-16.792509120984707,-14.552743508573048,-31.095640295429217,-39.402572637438304,-68.12058960225296,-43.14155168002133,10.007979801441346,8.661497347169194,-29.895677214181838,-38.64967409763863,-61.792656183251516,-39.51189611724035
1,0.2,-21.864302742664176,-15.772817214411349,31.512853632058484,38.23772848856175,71.38298164287926,40.39986693864219,18.434948822922006,8.32732063007813,52.129275126605485,37.701673480849266,82.245347928628,44.57129417840071,-14.420773127510978,-14.552644919920759,-30.782180240859578,-39.36659813667456,-66.20534992257402,-43.366222727436835,12.159595728526515,8.97994147360587,-30.385445910816152,-38.7206331777365,-64.09731896322955,-46.177338568382226
2,0.3,-24.55820344158342,-17.791764187371644,31.637137343341763,37.774963608359414,72.7335172791449,39.26778939643596,28.30075576600637,17.779396293542597,53.52162505473767,56.281399962715795,87.60991751917456,69.76135309633725,-12.159595728526515,-10.141008510424369,-30.38544591081618,-38.184909899797226,-64.09731896322957,-43.94142735914099,14.420773127510978,11.474561908547788,-30.782180240859578,-38.637459300903274,-66.20534992257402,-56.29574128270757
3,0.4,-27.349875780069883,-19.38219980661011,31.71893315908164,38.291434102186884,73.89841657493318,38.083638468501285,39.289406862500364,22.759018555038292,31.808256212764075,54.25617682366458,76.71358979582982,71.90242953770279,-10.007979801441346,-8.799115935941584,-29.895677214181838,-38.858826483801785,-61.792656183251516,-46.69352237768366,16.792509120984707,11.64450002197311,-31.095640295429217,-39.68006462101976,-68.12058960225296,-56.74835133150048
4,0.5,-30.23080146970835,-22.904280206245147,31.768202504636474,37.714892575252236,74.8784037270811,62.446205284791155,39.289406862500364,32.653961041055474,31.808256212764075,36.72042447609049,76.71358979582982,67.07950143100166,-10.007979801441346,-7.574978318985079,-29.895677214181838,-37.599349262293565,-61.792656183251516,-54.73430195762369,19.274387356634314,13.182907957864671,-31.33579894564477,-38.50974231548933,-69.84580756625935,-49.465742543395955
5,0.6,-33.190117042971735,-24.28018153995331,31.79424539913732,37.66735969671155,75.67401264797442,66.36663664769073,36.214701282115406,30.772838142458763,31.80531995136064,37.82232982729742,76.2856427651633,68.8790381738753,-18.434948822922006,-9.940108030346591,-52.129275126605485,-39.857471895366594,-82.24534792862798,-53.28494413822952,21.864302742664176,15.464840370576908,-31.512853632058512,-40.39485791699309,-71.38298164287927,-50.42841903264749
6,0.7,-36.21470128211538,-28.617569118283473,31.80531995136064,35.292551054838256,76.2856427651633,68.3349363130946,33.190117042971735,27.92101465726355,31.79424539913732,39.775404921233736,75.67401264797442,67.58438395648164,-28.30075576600637,-17.958179272915125,-53.52162505473767,-55.212067859475724,-87.60991751917459,-76.00734927202369,24.55820344158342,21.279047966327536,-31.637137343341738,-42.3760546601294,-72.73351727914493,-54.36389701352519
7,0.8,-39.289406862500364,-29.56268762470081,31.808256212764075,36.273366889314524,76.71358979582982,67.39168644786463,30.230801469708375,26.810329890724827,31.768202504636474,40.18621566388813,74.8784037270811,67.80947624865047,-39.289406862500364,-22.163187781790395,-31.808256212764075,-54.77974456821623,-76.71358979582979,-76.56299747609668,27.349875780069883,18.578032043004352,-31.718933159081615,-43.60282489876202,-73.89841657493315,-56.28527646384545
8,0.9,-39.289406862500364,-33.236948134009964,31.808256212764075,38.38483105698468,76.71358979582982,68.39388330231905,27.349875780069883,23.652018706061742,31.71893315908164,36.06710484534492,73.89841657493318,67.785359910077,-39.289406862500364,-25.668252236355272,-31.808256212764075,-40.03576295333479,-76.71358979582979,-67.25608838321656,30.23080146970835,19.078091149428005,-31.76820250463645,-39.72882752236217,-74.87840372708108,-57.27157736370884
9,1.0,-28.30075576600637,-31.823593539927128,53.52162505473762,39.22321715600548,87.60991751917456,67.65725326880235,24.558203441583448,23.63437090600416,31.637137343341763,36.5204092155617,72.7335172791449,67.71334055844547,-36.214701282115406,-26.9351154632233,-31.80531995136064,-35.94951794646302,-76.2856427651633,-68.61997306811762,33.190117042971735,21.295912053510992,-31.79424539913732,-39.99417129690341,-75.67401264797442,-62.23283934203137
