frame_idx,sim_time_s,peak_joint,peak_value
0,1.9150,br_foot,1.0445
1,1.9480,br_foot,1.0445
2,1.9810,br_foot,1.0445
3,2.0140,br_foot,1.0445
4,2.0470,br_foot,1.0445
5,2.0800,br_foot,1.0445
6,2.1130,bl_foot,-0.9827
7,2.1460,bl_foot,-0.9870
8,2.1790,bl_foot,-1.0013
9,2.2120,bl_foot,-0.9839
10,2.2450,bl_foot,-0.9785
11,2.2780,bl_foot,-0.9779
12,2.3110,fl_knee,0.9883
13,2.3440,fl_foot,-0.9744
14,2.3770,fl_foot,-0.9843
15,2.4100,fl_foot,-0.9756
16,2.4430,fl_foot,-0.9627
17,2.4760,fl_foot,-0.9627
18,2.5090,fl_foot,-0.9639
19,2.5420,fl_foot,-0.9536
20,2.5750,fl_knee,0.9783
21,2.6080,fl_knee,0.9782
22,2.6410,fl_knee,0.9792
23,2.6740,fl_knee,0.9759
24,2.7070,fl_knee,0.9655
25,2.7400,fl_hip,1.0069
26,2.7730,bl_hip,-0.9699
27,2.8060,bl_hip,-0.9642
28,2.8390,bl_hip,-0.9588
29,2.8720,bl_hip,-0.9737
30,2.9050,fl_hip,0.8831
31,2.9380,br_knee,-0.9448
32,2.9710,fl_knee,0.9007
33,3.0040,fl_knee,0.9138
34,3.0370,fl_knee,0.8623
35,3.0700,fl_knee,0.8529
36,3.1030,fl_knee,0.8517
37,3.1360,fl_foot,-0.8143
38,3.1690,fl_foot,-0.7126
39,3.2020,fl_foot,-0.6529
40,3.2350,fl_foot,-0.6416
41,3.2680,fl_foot,-0.6672
42,3.3010,bl_knee,0.5505
43,3.3340,bl_knee,0.5511
44,3.3670,fr_knee,-0.4636
45,3.4000,fr_knee,-0.5225
46,3.4330,fr_knee,-0.5487
47,3.4660,fr_knee,-0.4856
48,3.4990,fr_knee,-0.4810
49,3.5320,br_knee,-0.2831
50,3.5650,fl_knee,0.2660
51,3.5980,fl_knee,0.2855
52,3.6310,fl_knee,0.2699
53,3.6640,fl_knee,0.2754
54,3.6970,fl_knee,0.2750
55,3.7300,fr_knee,-0.5397
56,3.7630,bl_knee,0.5138
57,3.7960,bl_knee,0.5005
58,3.8290,bl_knee,0.4535
59,3.8620,bl_knee,0.4856
60,3.8950,bl_knee,0.4707
61,3.9280,bl_knee,0.3743
62,3.9610,bl_foot,-0.2366
63,3.9940,br_knee,-0.2910
64,4.0270,bl_knee,0.3092
65,4.0600,bl_knee,0.3065
66,4.0930,bl_knee,0.3018
67,4.1260,fl_knee,0.4724
68,4.1590,br_knee,-0.4811
69,4.1920,br_knee,-0.4773
70,4.2250,br_knee,-0.3744
71,4.2580,br_knee,-0.3952
72,4.2910,br_knee,-0.4195
73,4.3240,br_knee,-0.2630
74,4.3570,fr_foot,-0.2749
75,4.3900,bl_knee,0.2340
76,4.4230,bl_hip,-0.2642
77,4.4560,bl_hip,-0.2549
78,4.4890,fl_hip,0.2654
79,4.5220,br_knee,-0.4167
80,4.5550,fl_knee,0.3350
81,4.5880,fl_knee,0.3505
82,4.6210,fl_knee,0.3990
83,4.6540,fl_knee,0.3815
84,4.6870,fl_knee,0.3201
85,4.7200,fl_knee,0.3597
86,4.7530,bl_foot,0.2321
87,4.7860,fr_knee,-0.1837
88,4.8190,bl_foot,0.1855
89,4.8520,fr_knee,-0.2005
90,4.8850,fr_knee,-0.2020
91,4.9180,fr_knee,-0.3345
92,4.9510,fr_knee,-0.3313
93,4.9840,bl_knee,0.2917
94,5.0170,fr_knee,-0.3357
95,5.0500,bl_knee,0.3275
96,5.0830,bl_knee,0.3259
97,5.1160,fr_knee,-0.3342
98,5.1490,br_knee,-0.1573
99,5.1820,fl_knee,0.1531
100,5.2150,fr_knee,-0.1685
101,5.2480,fr_knee,-0.1863
102,5.2810,fr_knee,-0.1843
103,5.3140,fr_knee,-0.4220
104,5.3470,fr_knee,-0.4220
105,5.3800,bl_knee,0.3706
106,5.4130,fr_knee,-0.3296
107,5.4460,bl_knee,0.3711
108,5.4790,bl_knee,0.3611
109,5.5120,bl_knee,0.2837
110,5.5450,bl_knee,0.2220
111,5.5780,bl_knee,0.1828
112,5.6110,bl_knee,0.2554
113,5.6440,bl_knee,0.2306
114,5.6770,bl_knee,0.2331
115,5.7100,fl_knee,0.3635
116,5.7430,fl_knee,0.4385
117,5.7760,br_knee,-0.4446
118,5.8090,br_knee,-0.3887
119,5.8420,br_knee,-0.3737
120,5.8750,br_knee,-0.3477
121,5.9080,fl_hip,0.3901
122,5.9410,fr_knee,-0.4100
123,5.9740,fr_foot,-0.2198
124,6.0070,fr_foot,-0.2030
125,6.0400,fr_hip,0.2239
126,6.0730,br_hip,-0.2417
127,6.1060,br_knee,-0.3819
128,6.1390,br_knee,-0.3949
129,6.1720,fl_knee,0.3283
130,6.2050,fl_knee,0.3709
131,6.2380,fl_knee,0.3758
132,6.2710,fl_knee,0.2756
133,6.3040,fl_knee,0.3042
134,6.3370,fl_knee,0.3501
135,6.3700,bl_foot,0.2002
136,6.4030,bl_foot,0.1858
137,6.4360,fr_knee,-0.1834
138,6.4690,fr_knee,-0.1979
139,6.5020,fr_knee,-0.1883
140,6.5350,fr_knee,-0.3277
141,6.5680,fr_knee,-0.2861
142,6.6010,fr_knee,-0.2861
143,6.6340,fr_knee,-0.3333
144,6.6670,bl_knee,0.3245
145,6.7000,fr_knee,-0.3147
146,6.7330,fr_knee,-0.3164
147,6.7660,br_knee,-0.1593
148,6.7990,fl_knee,0.1758
149,6.8320,fr_knee,-0.1776
150,6.8650,fr_knee,-0.1843
151,6.8980,fr_knee,-0.1789
152,6.9310,fr_knee,-0.4158
153,6.9640,bl_knee,0.4140
154,6.9970,bl_knee,0.3689
155,7.0300,bl_knee,0.3386
156,7.0630,bl_knee,0.3832
157,7.0960,bl_knee,0.3540
158,7.1290,bl_knee,0.2961
159,7.1620,bl_knee,0.1858
160,7.1950,bl_knee,0.2137
161,7.2280,bl_knee,0.2507
162,7.2610,bl_knee,0.2425
163,7.2940,bl_knee,0.2372
164,7.3270,fl_knee,0.4445
165,7.3600,br_knee,-0.4432
166,7.3930,br_knee,-0.4386
167,7.4260,fl_knee,0.3822
168,7.4590,br_knee,-0.3354
169,7.4920,fl_hip,0.3996
170,7.5250,fl_hip,0.2341
171,7.5580,fr_knee,-0.4174
172,7.5910,bl_knee,0.2010
173,7.6240,bl_hip,-0.2330
174,7.6570,fl_hip,0.2349
175,7.6900,br_hip,-0.2410
176,7.7230,br_knee,-0.3758
177,7.7560,fl_knee,0.3296
178,7.7890,fl_knee,0.3374
179,7.8220,fl_knee,0.3786
180,7.8550,fl_knee,0.3577
181,7.8880,fl_knee,0.3152
182,7.9210,fl_knee,0.2798
183,7.9540,bl_foot,0.2293
184,7.9870,bl_foot,0.1842
185,8.0200,bl_foot,0.1947
186,8.0530,fr_knee,-0.1894
187,8.0860,fr_knee,-0.1905
188,8.1190,fr_knee,-0.3758
189,8.1520,fr_knee,-0.3309
190,8.1850,fr_knee,-0.2905
191,8.2180,fr_knee,-0.3383
192,8.2510,fr_knee,-0.3397
193,8.2840,bl_knee,0.3346
194,8.3170,fr_knee,-0.3436
195,8.3500,br_knee,-0.1626
196,8.3830,fl_knee,0.1515
197,8.4160,fr_knee,-0.1735
198,8.4490,fr_knee,-0.1871
199,8.4820,fr_knee,-0.1915
200,8.5150,fr_knee,-0.3734
201,8.5480,bl_knee,0.4196
202,8.5810,bl_knee,0.4219
203,8.6140,bl_knee,0.3490
204,8.6470,bl_knee,0.3773
205,8.6800,bl_knee,0.3671
206,8.7130,bl_knee,0.2953
207,8.7460,bl_knee,0.2208
208,8.7790,bl_knee,0.1953
209,8.8120,br_knee,-0.2318
210,8.8450,bl_knee,0.2522
211,8.8780,bl_knee,0.2457
212,8.9110,fl_knee,0.3693
213,8.9440,fl_knee,0.4463
214,8.9770,br_knee,-0.4435
215,9.0100,br_knee,-0.4435
216,9.0430,br_knee,-0.3396
217,9.0760,br_knee,-0.3505
218,9.1090,fl_hip,0.3990
219,9.1420,fr_knee,-0.4062
220,9.1750,fr_foot,-0.2258
221,9.2080,fr_foot,-0.2074
222,9.2410,bl_hip,-0.2347
223,9.2740,fl_hip,0.2477
224,9.3070,br_knee,-0.3774
225,9.3400,fl_knee,0.3388
226,9.3730,fl_knee,0.3325
227,9.4060,fl_knee,0.3711
228,9.4390,fl_knee,0.3574
229,9.4720,fl_knee,0.2888
230,9.5050,fl_knee,0.3226
231,9.5380,fl_knee,0.3612
232,9.5710,bl_foot,0.2008
233,9.6040,bl_foot,0.1893
234,9.6370,fr_knee,-0.1768
235,9.6700,fr_knee,-0.2044
236,9.7030,bl_hip,0.3412
237,9.7360,fr_knee,-0.3303
238,9.7690,fr_knee,-0.2970
239,9.8020,fr_knee,-0.3462
240,9.8350,fr_knee,-0.3553
241,9.8680,bl_knee,0.3367
242,9.9010,bl_knee,0.3359
243,9.9340,fr_knee,-0.3308
244,9.9670,br_knee,-0.1612
245,10.0000,fl_knee,0.1796
246,10.0330,fl_knee,0.1902
247,10.0660,fl_knee,0.1906
248,10.0990,fl_knee,0.1927
249,10.1320,fl_knee,0.1934
250,10.1650,fl_knee,0.1951
251,10.1980,fl_knee,0.1952
252,10.2310,fl_knee,0.1956
253,10.2640,fl_knee,0.1958
254,10.2970,fl_knee,0.1960
255,10.3300,fl_knee,0.1961
256,10.3630,fl_knee,0.1961
257,10.3960,fl_knee,0.1961
258,10.4290,fl_knee,0.1960
259,10.4620,fl_knee,0.1960
260,10.4950,fl_knee,0.1959
261,10.5280,fl_knee,0.1958
262,10.5610,fl_knee,0.1957
263,10.5940,fl_knee,0.1956
264,10.6270,fl_knee,0.1956
265,10.6600,fl_knee,0.1955
266,10.6930,fl_knee,0.1954
267,10.7260,fl_knee,0.1953
268,10.7590,fl_knee,0.1953
269,10.7920,fl_knee,0.1964
270,10.8250,fl_knee,0.1973
271,10.8580,fl_knee,0.1973
272,10.8910,fl_knee,0.1973
273,10.9240,fl_knee,0.1974
274,10.9570,fl_knee,0.1974
275,10.9900,fl_knee,0.1974
276,11.0230,fl_knee,0.1974
277,11.0560,fl_knee,0.1966
278,11.0890,fl_knee,0.1942
279,11.1220,fl_knee,0.1940
280,11.1550,fl_knee,0.1939
281,11.1880,fl_knee,0.1938
282,11.2210,fl_knee,0.1937
283,11.2540,fl_knee,0.1938
284,11.2870,fl_knee,0.1939
285,11.3200,fl_knee,0.1940
286,11.3530,fl_knee,0.1941
287,11.3860,fl_knee,0.1942
288,11.4190,fl_knee,0.1942
289,11.4520,fl_knee,0.1943
290,11.4850,fl_knee,0.1944
291,11.5180,fl_knee,0.1945
292,11.5510,fl_knee,0.1946
293,11.5840,fl_knee,0.1947
294,11.6170,fl_knee,0.1948
295,11.6500,fl_knee,0.1948
296,11.6830,fl_knee,0.1949
297,11.7160,fl_knee,0.1950
298,11.7490,fl_knee,0.1950
299,11.7820,fl_knee,0.1950
300,11.8150,fl_knee,0.1950
301,11.8480,fl_knee,0.1950
302,11.8810,fl_knee,0.1941
303,11.9140,fl_knee,0.1943
304,11.9470,fl_knee,0.1933
305,11.9800,fl_knee,0.1930
306,12.0130,fl_knee,0.1926
307,12.0460,fl_knee,0.1919
308,12.0790,fl_knee,0.1918
309,12.1120,fl_knee,0.1918
310,12.1450,fl_knee,0.1916
311,12.1780,fl_knee,0.1915
312,12.2110,fl_knee,0.1912
313,12.2440,fl_knee,0.1912
314,12.2770,fl_knee,0.1911
315,12.3100,fl_knee,0.1910
316,12.3430,fl_knee,0.1910
317,12.3760,fl_knee,0.1910
318,12.4090,fl_knee,0.1910
319,12.4420,fl_knee,0.1910
320,12.4750,fl_knee,0.1911
321,12.5080,fl_knee,0.1911
322,12.5410,fl_knee,0.1912
323,12.5740,fl_knee,0.1913
324,12.6070,fl_knee,0.1913
325,12.6400,fl_knee,0.1914
326,12.6730,fl_knee,0.1914
327,12.7060,fl_knee,0.1915
328,12.7390,fl_knee,0.1916
329,12.7720,fl_knee,0.1917
330,12.8050,fl_knee,0.1918
331,12.8380,fl_knee,0.1919
332,12.8710,fl_knee,0.1919
333,12.9040,fl_knee,0.1920
334,12.9370,fl_knee,0.1921
335,12.9700,fl_knee,0.1922
336,13.0030,fl_knee,0.1922
337,13.0360,fl_knee,0.1921
338,13.0690,fl_knee,0.1921
339,13.1020,fl_knee,0.1921
340,13.1350,fl_knee,0.1921
341,13.1680,fl_knee,0.1921
342,13.2010,fl_knee,0.1914
343,13.2340,fl_knee,0.1913
344,13.2670,fl_knee,0.1911
345,13.3000,fl_knee,0.1906
346,13.3330,fl_knee,0.1905
347,13.3660,fl_knee,0.1904
348,13.3990,fl_knee,0.1904
349,13.4320,fl_knee,0.1899
350,13.4650,fl_knee,0.1900
351,13.4980,fl_knee,0.1899
352,13.5310,fl_knee,0.1898
353,13.5640,fl_knee,0.1898
354,13.5970,fl_knee,0.1898
355,13.6300,fl_knee,0.1898
356,13.6630,fl_knee,0.1898
357,13.6960,fl_knee,0.1899
358,13.7290,fl_knee,0.1900
359,13.7620,fl_knee,0.1900
360,13.7950,fl_knee,0.1901
361,13.8280,fl_knee,0.1901
362,13.8610,fl_knee,0.1902
363,13.8940,fl_knee,0.2009
364,13.9270,fl_knee,0.1895
365,13.9600,fl_knee,0.1885
366,13.9930,fl_knee,0.1883
367,14.0260,fl_knee,0.1888
368,14.0590,fl_knee,0.1884
369,14.0920,fl_knee,0.1882
370,14.1250,fl_knee,0.1881
371,14.1580,fl_knee,0.1880
372,14.1910,fl_knee,0.1880
373,14.2240,fl_knee,0.1893
374,14.2570,fl_knee,0.1885
375,14.2900,fl_knee,0.1883
376,14.3230,fl_knee,0.1882
377,14.3560,fl_knee,0.1881
378,14.3890,fl_knee,0.1881
379,14.4220,fl_knee,0.1881
380,14.4550,fl_knee,0.1882
381,14.4880,fl_knee,0.1883
382,14.5210,fl_knee,0.1883
383,14.5540,fl_knee,0.1884
384,14.5870,fl_knee,0.1884
385,14.6200,fl_knee,0.1885
386,14.6530,fl_knee,0.1886
387,14.6860,fl_knee,0.1887
388,14.7190,fl_knee,0.1887
389,14.7520,fl_knee,0.1888
390,14.7850,fl_knee,0.1889
391,14.8180,fl_knee,0.1890
392,14.8510,fl_knee,0.1891
393,14.8840,fl_knee,0.1891
394,14.9170,fl_knee,0.1892
395,14.9500,fl_knee,0.1893
396,14.9830,fl_knee,0.1894
397,15.0160,fl_knee,0.1894
398,15.0490,fl_knee,0.1895
399,15.0820,fl_knee,0.1895
400,15.1150,fl_knee,0.1895
401,15.1480,fl_knee,0.1895
402,15.1810,fl_knee,0.1896
403,15.2140,fl_knee,0.1897
404,15.2470,fl_knee,0.1897
405,15.2800,fl_knee,0.1891
406,15.3130,fl_knee,0.1890
407,15.3460,fl_knee,0.1889
408,15.3790,fl_knee,0.1889
409,15.4120,fl_knee,0.1889
410,15.4450,fl_knee,0.1889
411,15.4780,fl_knee,0.1889
412,15.5110,fl_knee,0.1889
413,15.5440,fl_knee,0.1882
414,15.5770,fl_knee,0.1881
415,15.6100,fl_knee,0.1882
416,15.6430,fl_knee,0.1882
417,15.6760,fl_knee,0.1882
418,15.7090,fl_knee,0.1883
419,15.7420,fl_knee,0.1884
