frame_idx,sim_time_s,peak_joint,peak_value
151,6.8650,fr_knee,-0.1843
152,6.8980,fr_knee,-0.3653
153,6.9310,bl_knee,0.4122
154,6.9640,bl_knee,0.4140
155,6.9970,bl_knee,0.3258
156,7.0300,bl_knee,0.3832
157,7.0630,bl_knee,0.3619
158,7.0960,bl_knee,0.2865
159,7.1290,bl_knee,0.2211
160,7.1620,bl_knee,0.1858
161,7.1950,bl_knee,0.2137
162,7.2280,bl_knee,0.2507
163,7.2610,br_knee,-0.2311
164,7.2940,fl_knee,0.3645
165,7.3270,fl_knee,0.4486
166,7.3600,br_knee,-0.4432
167,7.3930,br_knee,-0.3917
168,7.4260,br_knee,-0.3354
169,7.4590,br_knee,-0.3468
170,7.4920,fl_hip,0.3996
171,7.5250,fl_hip,0.2341
172,7.5580,fr_foot,-0.2197
173,7.5910,bl_knee,0.2010
174,7.6240,bl_hip,-0.2330
175,7.6570,br_hip,-0.2424
176,7.6900,br_knee,-0.3758
177,7.7230,br_knee,-0.4004
178,7.7560,fl_knee,0.3296
179,7.7890,fl_knee,0.3374
180,7.8220,fl_knee,0.3786
181,7.8550,fl_knee,0.2809
182,7.8880,fl_knee,0.3152
183,7.9210,fl_knee,0.2798
184,7.9540,bl_foot,0.1973
185,7.9870,bl_foot,0.1842
186,8.0200,fr_knee,-0.1839
187,8.0530,fr_knee,-0.1983
188,8.0860,fr_knee,-0.3330
189,8.1190,fr_knee,-0.3758
190,8.1520,fr_knee,-0.2963
191,8.1850,fr_knee,-0.2905
192,8.2180,bl_knee,0.3427
193,8.2510,fr_knee,-0.3397
194,8.2840,bl_knee,0.3346
195,8.3170,fr_knee,-0.3436
196,8.3500,br_knee,-0.1626
197,8.3830,fl_knee,0.1807
198,8.4160,fr_knee,-0.1849
199,8.4490,fr_knee,-0.1915
200,8.4820,fr_knee,-0.1894
201,8.5150,fr_knee,-0.4265
202,8.5480,bl_knee,0.4219
203,8.5810,bl_knee,0.3754
204,8.6140,bl_knee,0.3490
205,8.6470,bl_knee,0.3671
206,8.6800,bl_knee,0.3612
207,8.7130,fr_knee,-0.3045
208,8.7460,bl_knee,0.2208
209,8.7790,bl_knee,0.2282
210,8.8120,br_knee,-0.2318
211,8.8450,bl_knee,0.2522
212,8.8780,bl_knee,0.2401
213,8.9110,fl_knee,0.4461
214,8.9440,fl_knee,0.4463
215,8.9770,br_knee,-0.4435
216,9.0100,br_knee,-0.3950
217,9.0430,br_knee,-0.3396
218,9.0760,br_knee,-0.3838
219,9.1090,fl_hip,0.2364
220,9.1420,fr_knee,-0.4062
221,9.1750,fr_foot,-0.2074
222,9.2080,bl_hip,-0.2331
223,9.2410,fl_hip,0.2412
224,9.2740,fl_hip,0.2453
225,9.3070,br_knee,-0.4150
226,9.3400,fl_knee,0.3388
227,9.3730,fl_knee,0.3396
228,9.4060,fl_knee,0.3803
229,9.4390,fl_knee,0.3574
230,9.4720,fl_knee,0.3226
231,9.5050,fl_knee,0.2838
232,9.5380,bl_foot,0.2270
233,9.5710,bl_foot,0.2008
234,9.6040,bl_foot,0.1979
235,9.6370,fr_knee,-0.2005
236,9.6700,fr_knee,-0.1882
237,9.7030,fr_knee,-0.3750
238,9.7360,fr_knee,-0.3303
239,9.7690,fr_knee,-0.2970
240,9.8020,fr_knee,-0.3462
241,9.8350,fr_knee,-0.3553
242,9.8680,bl_knee,0.3359
243,9.9010,fr_knee,-0.3308
244,9.9340,fr_knee,-0.3262
245,9.9670,fl_knee,0.1515
246,10.0000,fl_knee,0.1898
247,10.0330,fl_knee,0.1902
248,10.0660,fl_knee,0.1906
249,10.0990,fl_knee,0.1925
250,10.1320,fl_knee,0.1947
251,10.1650,fl_knee,0.1951
252,10.1980,fl_knee,0.1955
253,10.2310,fl_knee,0.1958
254,10.2640,fl_knee,0.1958
255,10.2970,fl_knee,0.1960
256,10.3300,fl_knee,0.1961
257,10.3630,fl_knee,0.1961
258,10.3960,fl_knee,0.1961
259,10.4290,fl_knee,0.1960
260,10.4620,fl_knee,0.1960
261,10.4950,fl_knee,0.1959
262,10.5280,fl_knee,0.1958
263,10.5610,fl_knee,0.1957
264,10.5940,fl_knee,0.1956
265,10.6270,fl_knee,0.1955
266,10.6600,fl_knee,0.1955
267,10.6930,fl_knee,0.1954
268,10.7260,fl_knee,0.1953
269,10.7590,fl_knee,0.1952
270,10.7920,fl_knee,0.1964
271,10.8250,fl_knee,0.1973
272,10.8580,fl_knee,0.1973
273,10.8910,fl_knee,0.1973
274,10.9240,fl_knee,0.1974
275,10.9570,fl_knee,0.1974
276,10.9900,fl_knee,0.1974
277,11.0230,fl_knee,0.1974
278,11.0560,fl_knee,0.1943
279,11.0890,fl_knee,0.1941
280,11.1220,fl_knee,0.1940
281,11.1550,fl_knee,0.1939
282,11.1880,fl_knee,0.1937
283,11.2210,fl_knee,0.1937
284,11.2540,fl_knee,0.1938
285,11.2870,fl_knee,0.1939
286,11.3200,fl_knee,0.1940
287,11.3530,fl_knee,0.1941
288,11.3860,fl_knee,0.1942
289,11.4190,fl_knee,0.1942
290,11.4520,fl_knee,0.1944
291,11.4850,fl_knee,0.1945
292,11.5180,fl_knee,0.1945
293,11.5510,fl_knee,0.1946
294,11.5840,fl_knee,0.1947
295,11.6170,fl_knee,0.1948
