Time_Step,Time_s,FR_hip_effort_applied,FR_hip_angle_deg,FR_knee_effort_applied,FR_knee_angle_deg,FR_foot_effort_applied,FR_foot_angle_deg,BR_hip_effort_applied,BR_hip_angle_deg,BR_knee_effort_applied,BR_knee_angle_deg,BR_foot_effort_applied,BR_foot_angle_deg,BL_hip_effort_applied,BL_hip_angle_deg,BL_knee_effort_applied,BL_knee_angle_deg,BL_foot_effort_applied,BL_foot_angle_deg,FL_hip_effort_applied,FL_hip_angle_deg,FL_knee_effort_applied,FL_knee_angle_deg,FL_foot_effort_applied,FL_foot_angle_deg
0,0.0,-0.2988894014704241,-15.984189396427956,-0.6215551930575521,38.24555411762909,0.9414,40.12564554828289,0.155927141822981,8.290192502187299,-0.6890208130659302,37.55031456955403,0.9414,40.690871500531074,-0.2036912781447183,-14.552743804713923,0.7486007968308815,-39.41124206416508,-0.9414,-43.14633923832318,0.12222671746363717,8.661423650235774,0.7888453139229794,-38.65229094475633,-0.9414,-39.51189611751583
1,0.02,-0.2990332756121975,-15.9845823511727,-0.621724708018225,38.24555411762909,0.9414,40.12562916926439,0.1559644415621048,8.289700687787125,-0.6890879327005504,37.547594310869066,0.9414,40.689529885872716,-0.20376946070318727,-14.552743804715965,0.7488271347965451,-39.41000797022397,-0.9414,-43.14505329945635,0.12226623571989456,8.661503075141042,0.7891994346995684,-38.651225344915254,-0.9414,-39.51189611746474
2,0.04,-0.29914811147089543,-15.984582351173705,-0.6219806280051227,38.24428188532397,0.9414,40.12562916926439,0.15602442678218575,8.28952980671679,-0.6893325799822346,37.54598583075346,0.9414,40.6879040567058,-0.20384766911145918,-14.552743804715965,0.7490625764313031,-39.40784099040756,-0.9414,-43.144778536036924,0.12231404776418456,8.661502980852532,0.789487726687234,-38.651150765941786,-0.9414,-39.511896117437004
3,0.06,-0.29926294732868153,-15.984582351173705,-0.6222063713109263,38.244223095027415,0.9414,40.12552216071103,0.1560843029138922,8.289529988814737,-0.6894904537104479,37.54496732087434,0.9414,40.68757766458639,-0.2039258516804702,-14.552743508583529,0.7492409589723997,-39.40756357949132,-0.9414,-43.14418040034169,0.1223608846850556,8.661502107834641,0.7897760311253262,-38.651150765941786,-0.9414,-39.511896117381056
4,0.08,-0.2993777831863302,-15.984582351177338,-0.6224202615266141,38.244223095027415,0.9414,40.12551972891202,0.15614336058473446,8.289533445673195,-0.6896039859700975,37.544255143955176,0.9414,40.68697145365831,-0.20400403424978358,-14.552743508583529,0.7493852995341366,-39.40531263610958,-0.9414,-43.14341520493282,0.12240788562756491,8.661502107834641,0.7900629113638841,-38.65063891572902,-0.9414,-39.51189611731848
5,0.1,-0.29949261904400504,-15.98458235118281,-0.6226615214342336,38.24381606693099,0.9414,40.12549579548543,0.15620090243323148,8.289533445673195,-0.6896572774345736,37.544255143955176,0.9414,40.685736500896745,-0.2040822168192781,-14.552743508576478,0.7494398693179761,-39.403879806765865,-0.9414,-43.14295508904963,0.12245516862740674,8.6615014328562,0.7903461659121599,-38.6504750285828,-0.9414,-39.511896117247986
6,0.12,-0.29960745490174884,-15.98458235118281,-0.6227003115779903,38.24350980722983,0.9414,40.12493231923228,0.15623999754624615,8.289611745895638,-0.6894239502053655,37.54023697755785,0.9414,40.68397880102469,-0.20416900439309846,-14.552646821124355,0.7493676587588758,-39.402572637438304,-0.9414,-43.14120348232503,0.12250841410173492,8.661486941585757,0.7905873315071856,-38.6504750285828,-0.9414,-39.51189611718171
7,0.14,-0.29972229075963397,-15.984582351189395,-0.6227726647152776,38.241535778892796,0.9414,40.12380059317776,0.15626740468946668,8.289723837821674,-0.6893299572543262,37.53505137951135,0.9414,40.681001052578544,-0.2042471904034573,-14.552644919927573,0.7493804281221069,-39.39822869292592,-0.9414,-43.14059009336249,0.12258375454333037,8.661412851239431,0.7908115587660863,-38.649404690055164,-0.9414,-39.51189611708014
8,0.16,-0.29983712661734496,-15.984582351189395,-0.6228757016173846,38.23970282457297,0.9414,40.12231262028238,0.15629594643626643,8.289980143829252,-0.6893307562061359,37.53002163775618,0.9414,40.67930520035966,-0.2043253764139767,-14.552644919927573,0.7494587044849442,-39.39647919565193,-0.9414,-43.13952805668764,0.1226592635423341,8.661078855715946,0.7910367858753226,-38.64847440068734,-0.9414,-39.511896117041616
9,0.18,-0.299951962474935,-15.984582351203542,-0.6230678221399298,38.23970282457297,0.9414,40.120668324013295,0.15635940585544386,8.290449248168345,-0.6894175293480476,37.52738063598908,0.9414,40.67682941983922,-0.20440356242415172,-14.552644919919612,0.7496063360184576,-39.39647919565193,-0.9414,-43.13846040171951,0.1227017221873582,8.660871546563051,0.791333238236461,-38.64847440068734,-0.9414,-39.511896116918095
10,0.2,-0.30006288859169283,-15.98462547050093,-0.6233247639591327,38.2378041125423,0.9414,40.12052431327341,0.15640592101478182,8.290449248168345,-0.6896222733802918,37.5255414893488,0.9414,40.676510700554225,-0.20448174843395656,-14.552644919920102,0.7497557382230546,-39.390489701239154,-0.9414,-43.13820270756911,0.12276581978065518,8.660765335759738,0.7915778933252859,-38.64721525185423,-0.9414,-39.511896116918095
11,0.22,-0.5294766451951927,-15.772817214411349,-0.6942382814148896,39.06623079676156,0.9414,40.390467704842976,0.12764655739085506,11.566325047564973,0.24279806012467986,39.48838349215881,0.9414,45.470264960029105,-0.32001497098158527,-13.302146267199364,0.7932794060134424,-39.36659813667456,-0.9414,-44.267290584927444,0.10990163639637965,8.97994147360587,0.6625226353697182,-38.563998775887924,-0.9414,-39.511896116918095
12,0.24,-0.3881375878673674,-15.977816497925232,-0.6338517419846348,38.90289281472019,0.9414,39.57357329067678,0.1120596210459412,14.752556526386927,-0.2692012785408803,46.380492812035776,0.9414,45.470264960029105,-0.38461317608000684,-11.501443770970745,0.7476126445119191,-39.443645377973425,-0.9414,-44.267290584927444,0.09091458228049834,10.133072517272238,0.5116579034863381,-37.800962144603304,-0.7359678475235789,-50.072878621692084
13,0.26,-0.33569846086186883,-17.40526712152217,-0.545210155752477,38.90289281472019,0.9414,39.498322286955144,0.21681814640868113,15.559346808159885,-0.3880721604703852,52.38487858932902,0.9414,57.45654204877267,-0.3676857385902389,-10.591034138265337,0.7675738566644396,-39.19343580308876,-0.9414,-44.998144792229844,0.09591423052495678,10.943105898700853,0.5376650710571703,-36.45591499734134,-0.8512523846134316,-50.072878621692084
14,0.28,-0.34668944075648933,-17.87377671966884,-0.5625553496869378,37.94177842934087,0.9414,38.91121508639118,0.2238105408731197,16.03469246888252,-0.4237946937949832,54.344472274861275,0.9414,61.95139595503435,-0.37932967121792605,-10.591034138265337,0.7063882279340377,-39.19343580308876,-0.9414,-44.610425204937705,0.08130201329269839,10.943105898700853,0.7443877430779688,-36.883806460803214,-0.7390961567101623,-55.70610129159695
15,0.3,-0.38541716659854947,-17.833086722059026,-0.5478796380470788,37.76527709543075,0.9414,38.91121508639118,0.27393111445830987,16.001855010283585,-0.351376862778217,56.01091463682362,0.9414,69.6860009376972,-0.37115050865998694,-10.280156739069392,0.636250825393191,-38.915156132409514,-0.9414,-44.090731845811234,0.07992712737841398,11.14173602599076,0.7628303804636242,-38.310809724691524,-0.7766645350626864,-56.119877045734796
16,0.32,-0.6955234409790395,-17.0421916798568,-0.6172632498461202,37.774963608359414,0.9414,39.36019229419575,0.642789630090926,19.038357102135024,-0.3227256031550085,56.941958183298304,0.9414,69.76135309633725,-0.3002517470064839,-9.949439420920811,0.6781380800438065,-38.19596089308683,-0.9414,-43.94142735914099,0.18463114604864406,11.950064343288126,0.7227612991005605,-38.310809724691524,-0.9298471770439386,-56.29574128270757
17,0.34,-0.7190230007971969,-16.898192163353798,-0.6326593653244432,37.774963608359414,0.9414,39.28066079137091,0.683041068026179,19.038357102135024,-0.37736275636209676,57.142449253160855,0.9414,72.78375745924652,-0.3150776631037033,-9.288509332059418,0.7515186826091276,-38.15330581581344,-0.9414,-44.36283941952602,0.20433294745166625,12.125982950672968,0.7151240310612816,-38.63645029345858,-0.917412121623847,-56.385596580653065
18,0.36,-0.7325854296680939,-16.649165583033778,-0.6278652084831116,38.4730910891477,0.9414,38.73188550361127,0.6529095081900436,20.39661583351715,-0.3976800740162246,57.38567074715414,0.9414,72.62170445642883,-0.29433184475485763,-8.858184149170537,0.7766147529524142,-38.15330581581344,-0.9414,-46.02860986717279,0.24404695466341977,12.136880932279325,0.7209593180581692,-38.65677263401449,-0.9199378623565627,-56.574835668589
19,0.38,-0.7398765973430372,-16.37745718797932,-0.6238175173089002,38.520017257036514,0.9414,38.24282374866913,0.6404456323597044,20.39661583351715,-0.3917347361577936,57.6341935090413,0.9414,72.61232902821075,-0.2803979456446506,-8.95440581469642,0.7730899288556983,-38.69041738216514,-0.9414,-46.02860986717279,0.26369919989403456,11.737939334662583,0.7237102847151553,-38.69523596853819,-0.9272439374622709,-56.63664444095305
20,0.4,-0.7401745434613264,-16.31146021699934,-0.6240569978398998,38.52000835073156,0.9414,37.95115615192979,0.6444720270504797,20.903609418546594,-0.3881106837002747,57.69191151069763,0.9414,72.62656634791624,-0.27748455963892465,-9.038059703247844,0.7684223832208484,-38.69041738216514,-0.9414,-46.811575913424804,0.2619643122364239,11.559304159509244,0.7227425668201273,-38.71176171910306,-0.9337510740452164,-56.635108037794396
