Time_Step,Time_s,FR_hip_torque,FR_hip_angle_deg,FR_knee_torque,FR_knee_angle_deg,FR_foot_torque,FR_foot_angle_deg,BR_hip_torque,BR_hip_angle_deg,BR_knee_torque,BR_knee_angle_deg,BR_foot_torque,BR_foot_angle_deg,BL_hip_torque,BL_hip_angle_deg,BL_knee_torque,BL_knee_angle_deg,BL_foot_torque,BL_foot_angle_deg,FL_hip_torque,FL_hip_angle_deg,FL_knee_torque,FL_knee_angle_deg,FL_foot_torque,FL_foot_angle_deg
0,0.0,0.2602506035128132,-16.551820346700776,0.6715978026154007,38.43082852712729,0.8113121934537638,38.24795491191512,0.14481505270985154,8.507629401137867,0.7145601315142253,37.45178869140681,0.805096472908209,36.86919833004376,0.23112901867749808,-14.27030285510071,0.6643957368724159,-38.09595985238309,0.8155491924007569,-37.77333014737315,0.15765225142785674,8.32357517406579,0.7307880625789095,-37.62574715574158,0.8164304076849813,-36.09344727464718
1,0.02,0.2604236449128998,-16.551820346700776,0.6716295558777825,38.42955142480455,0.8115059619427044,38.24795491191512,0.14494026396412363,8.50754245697334,0.7147085624007009,37.45035304799288,0.8051049869944422,36.872262839625,0.23112316079959302,-14.272746969753198,0.6643046362447796,-38.09595985236687,0.8155561377436963,-37.771378801739324,0.15741800816874157,8.323575174066036,0.7309231860320942,-37.625185982361046,0.8164278455713103,-36.08595277579416
2,0.04,0.26055091416832277,-16.550697998613817,0.6716337098207974,38.42559992864763,0.811682427621333,38.24795491184161,0.14504619885719222,8.507187288988103,0.7148613023040904,37.44918383711415,0.8051144241174039,36.8737407145839,0.23112149781275995,-14.273880099602584,0.6641962989576268,-38.095959852353865,0.8155642494865348,-37.76976960444449,0.15716605222137134,8.323575174066633,0.7310624843224758,-37.623410753954644,0.8164247303914796,-36.08454926226618
3,0.06,0.2606480240666682,-16.550516758825843,0.6716295373618597,38.423193486076414,0.8118720761567343,38.2479549118123,0.14517686225636525,8.506099102504132,0.715021219312153,37.44918383711415,0.8051239110023806,36.874903954768826,0.23112594284752952,-14.274752745079914,0.6640715885480464,-38.09595985234247,0.8155713862278433,-37.76859415062885,0.15685690769853894,8.323575174068182,0.7312094712695624,-37.62091922153938,0.8164226385618423,-36.08078203681088
4,0.08,0.2607376215289499,-16.550448165564553,0.6716405551696427,38.420855690026805,0.81198628984823,38.24795491176156,0.14530789173189726,8.50554929903789,0.7151832331322553,37.44690291132036,0.8051331031459633,36.874903954768826,0.23113763451144545,-14.274752745079914,0.6640429561015628,-38.09536307844837,0.8155767056556164,-37.76686868021189,0.15665890902843135,8.323575174069575,0.7313552303901971,-37.62038182984317,0.8164222621736714,-36.07775435867352
5,0.1,0.26082998462418494,-16.550448165564553,0.6717264564455001,38.420855690026805,0.8121130968514054,38.24795491176156,0.14541102967382089,8.504900706162072,0.7152734991710047,37.444692594504005,0.8051431104696093,36.877159792509374,0.2311724588830538,-14.276219176478563,0.6640579421221217,-38.092912340128684,0.815577715063395,-37.76365182315895,0.15655380409254252,8.323575174071056,0.7314253121288526,-37.61751766786166,0.8164209489854455,-36.075474038475576
6,0.12,0.26084963750327994,-16.550445905750305,0.6718046756555213,38.416436682685,0.8122869539110007,38.24795491167696,0.1455151012641377,8.504288368823797,0.7153084492625358,37.443069282438096,0.8051482888696906,36.877460704257075,0.23120381865413225,-14.276219176478563,0.6640028705652918,-38.09193215016076,0.8155758534953819,-37.75949091972808,0.15633208287556832,8.323575174072992,0.7314779525820698,-37.61482348602498,0.8164205640424044,-36.073305619990506
7,0.14,0.2609266653636973,-16.550445905741082,0.6718557667538603,38.415355593949236,0.8124124187990581,38.24795491164551,0.14562760702307279,8.503714540388552,0.7153494090416971,37.442110425653006,0.8051504901713155,36.877842615161825,0.23122588950969694,-14.277817105416943,0.6639686266723218,-38.088196236032104,0.8155725379037039,-37.75664727001703,0.15618343527420278,8.32357517407469,0.7315276254617429,-37.61335980724072,0.8164204859944213,-36.07090800269496
8,0.16,0.26102022912878314,-16.550445905735355,0.6718996976586659,38.412334121287955,0.8125123012004689,38.2479549115797,0.1457426518835717,8.503714540388552,0.715407745991579,37.437762899636965,0.8051526288784824,36.87814698600492,0.23124569850513607,-14.27800777588473,0.6639587410742012,-38.088196236032104,0.8155684009557335,-37.753187859375124,0.15606985028897363,8.323575174077934,0.7315813046808002,-37.609940816280535,0.8164197914033053,-36.07001368016943
9,0.18,0.2611136639177245,-16.550445905730268,0.6719507361465078,38.409237336394064,0.8126135152020603,38.24795491152085,0.14585543489337516,8.503714540388552,0.7154760733531275,37.437422538590695,0.805155541639944,36.87846382604271,0.23126797571679322,-14.279138757581865,0.6639587962874753,-38.08107864119098,0.8155639332255369,-37.75164068554043,0.15596059514954036,8.323575174079144,0.7316423084261928,-37.60778967565944,0.8164185896216474,-36.066975623658564
