Time_Step,Time_s,FR_hip_effort,FR_knee_effort,FR_foot_effort,BR_hip_effort,BR_knee_effort,BR_foot_effort,BL_hip_effort,BL_knee_effort,BL_foot_effort,FL_hip_effort,FL_knee_effort,FL_foot_effort
0,0.0,-0.2564837043394997,-0.6628825708532369,2.970984867603664,0.14136451908605835,-0.7064235504897898,2.345422513054674,-0.2376037617821269,0.6545411331371802,-2.8528497089366374,0.15863837301772876,0.7223750965954806,-2.416465553471453
1,0.02,-0.2566149788356658,-0.662886443051537,2.9720878407373013,0.14146817702656697,-0.7065795215311969,2.3461363786865,-0.23760138891140664,0.6547854903857572,-2.8540572607998365,0.15869716983102825,0.722515715128331,-2.4176186991742967
2,0.04,-0.2567153987105567,-0.6628811688600834,2.973190813871346,0.14159732851001086,-0.7067425723834396,2.3468736839613493,-0.23760487703975794,0.6550298476342176,-2.855286869540486,0.15875596664428326,0.7226644170547112,-2.418727980030965
3,0.06,-0.2568067765136044,-0.6628898590149361,2.9742937870056343,0.1417285574709086,-0.7069081001956707,2.3476296571231314,-0.23761547285660986,0.6552560036911956,-2.8565213753280827,0.15881476345750803,0.7228126756413096,-2.4198163407475706
4,0.08,-0.25690005499104596,-0.6629731496569332,2.975396760140061,0.14183391564426148,-0.7070054483585481,2.3484749899593393,-0.2376485529373805,0.6552829315677338,-2.857811140641892,0.158873560270729,0.7228871934927884,-2.420905123603133
5,0.1,-0.2569943541177313,-0.6630525718044349,2.9764997332749314,0.14193951525361376,-0.707046188064055,2.3493478367633607,-0.23767937072246936,0.6552330501616914,-2.859145980840706,0.15893235708390507,0.7229420268731332,-2.422008540878303
6,0.12,-0.25708468343746266,-0.6631040296274551,2.97754755775327,0.1420529089975364,-0.7070896452918679,2.3501997822937395,-0.2377014898985777,0.6551978111437298,-2.8604913318054153,0.15899115389706497,0.7229922836859549,-2.4231304900287913
7,0.14,-0.2571797669319169,-0.6631499759867494,2.9786505308885145,0.14216315392337633,-0.7071457523605845,2.3509955175171746,-0.23772118025313088,0.6551848564855567,-2.8618305023600574,0.15904701086954856,0.7230427432073041,-2.424199192394421
8,0.16,-0.25727960460109417,-0.6632046964952601,2.979808652680738,0.14228293936565523,-0.7072183282346729,2.351873937194189,-0.2377430682889418,0.6551818665372426,-2.863160018581003,0.15910874752332804,0.7231057371676688,-2.4253726349803335
9,0.18,-0.2573746880955428,-0.6632649792844141,2.980911625816432,0.1423943820329181,-0.7072911812204311,2.3527144322880535,-0.23776758517630486,0.6551804264196953,-2.8644831892283684,0.15916754433642732,0.7231715958901631,-2.4264822365542553
10,0.2,-0.2574697715899922,-0.6633284925935147,2.9820145989523636,0.14250477823768692,-0.7073642641171153,2.3535571783515583,-0.23779314923608624,0.6551778080928544,-2.8658048886890373,0.159226341149509,0.7232398771375455,-2.427588640374197
11,0.22,-0.42405353091207343,-0.8545574732152356,3.1323424118906082,0.24341880430741636,0.24972373601496634,3.4039453143709704,-0.3505023518268018,0.7697590899789547,-2.4114983003475854,0.2363244055118936,0.5265609344371301,-1.8784532394007236
12,0.24,-0.35355894075366134,-0.8918008286078756,3.100043408364367,0.46007200037651497,-0.25992971342914295,3.3446458377830273,-0.30406341170351064,0.8270144642415437,-2.4495623445934003,0.1990314957645527,0.34175764499060296,-1.3562307958880921
13,0.26,-0.4711226588440241,-0.8189712229647299,3.028932330413508,0.448974183984315,-0.5041354361541495,2.9998790230373724,-0.17249189423924638,0.8785208384464651,-2.5040690740103755,0.1484252906491817,0.44182487445707336,-0.8337991530231961
14,0.28,-0.624726464937715,-0.7222660979880372,2.958095842529616,0.38789162623997503,-0.48198322407240934,2.680910721493278,-0.059432864803570046,0.828459357394297,-2.606853577127748,0.18123002431351506,0.36986239609166705,-1.3067025154218057
15,0.3,-0.6933817472417251,-0.6956106468069032,2.902974337609048,0.3086701332468659,-0.5083050207481481,2.019508739092532,0.004457106762379162,0.7838370562986164,-2.7060421964251997,0.1841668691741964,0.605930241590056,-1.2824967299873862
16,0.32,-0.8797526307250806,-0.7296093520957372,2.9108784380673782,0.3267270042566883,-0.5128385324375153,1.9733422779598078,0.007574979406278354,0.7716906897873065,-2.4839103038659607,0.2395550901869951,0.6244192787560335,-1.2800434603468966
