Time_Step,Time_s,FR_hip_command,FR_hip_state,FR_knee_command,FR_knee_state,FR_foot_command,FR_foot_state,BR_hip_command,BR_hip_state,BR_knee_command,BR_knee_state,BR_foot_command,BR_foot_state,BL_hip_command,BL_hip_state,BL_knee_command,BL_knee_state,BL_foot_command,BL_foot_state,FL_hip_command,FL_hip_state,FL_knee_command,FL_knee_state,FL_foot_command,FL_foot_state
0,0.1,-19.274387356634314,-16.550445905750305,31.33579894564477,38.41779110705793,69.84580756625935,38.2479549116981,10.007979801441346,8.504288368823797,29.895677214181863,37.4438948231736,61.792656183251545,36.877460704257075,-16.792509120984707,-14.277551265183957,-31.095640295429217,-38.09193215016076,-68.12058960225296,-37.760114277196955,10.007979801441346,8.323575174072992,-29.895677214181838,-37.615664632710754,-61.792656183251516,-36.07512156055579
1,0.2,-21.864302742664176,-16.964575037365773,31.512853632058484,39.21436790251588,71.38298164287926,38.53148447803263,18.434948822922006,8.75774713004696,52.129275126605485,37.91388643209422,82.245347928628,37.17858387263271,-14.420773127510978,-13.925436444025694,-30.782180240859578,-38.49044473542862,-66.20534992257402,-37.96182100389374,12.159595728526515,8.323575174084766,-30.385445910816152,-37.2073777601225,-64.09731896322955,-36.86973170208305
2,0.3,-24.55820344158342,-15.053973600769496,31.637137343341763,39.416041095626206,72.7335172791449,41.30547616354033,28.30075576600637,19.00764846099498,53.52162505473767,57.69365852454893,87.60991751917456,65.36238676824287,-12.159595728526515,-12.834521003728467,-30.38544591081618,-39.436179866748056,-64.09731896322957,-38.287723570654244,14.420773127510978,11.726518707228434,-30.782180240859578,-35.90596633363282,-66.20534992257402,-52.41114874493824
3,0.4,-27.349875780069883,-17.018561132848724,31.71893315908164,39.31128008228261,73.89841657493318,41.091602500470934,39.289406862500364,21.32032055007724,31.808256212764075,57.991380663835685,76.71358979582982,59.44457674653567,-10.007979801441346,-9.115118557462017,-29.895677214181838,-37.836133081911775,-61.792656183251516,-37.804503190592385,16.792509120984707,12.987194163536149,-31.095640295429217,-37.49181419444278,-68.12058960225296,-59.66156027687436
4,0.5,-30.23080146970835,-18.29481210712503,31.768202504636474,38.209224439681655,74.8784037270811,46.468225940797794,39.289406862500364,28.756504487794704,31.808256212764075,38.61148508318896,76.71358979582982,49.32584934327757,-10.007979801441346,-8.877647791646408,-29.895677214181838,-35.53693865143786,-61.792656183251516,-52.17583323779051,19.274387356634314,15.579262652057821,-31.33579894564477,-38.29445058768557,-69.84580756625935,-57.000602446911195
5,0.6,-33.190117042971735,-26.135256183333045,31.79424539913732,37.6108795418386,75.67401264797442,47.42902511214401,36.214701282115406,27.324120574092007,31.80531995136064,40.07168639537795,76.2856427651633,48.80490748483129,-18.434948822922006,-12.504785004688534,-52.129275126605485,-41.953319706658135,-82.24534792862798,-56.84744378941017,21.864302742664176,16.157268985707226,-31.512853632058512,-39.62320182800864,-71.38298164287927,-59.407660274244186
6,0.7,-36.21470128211538,-26.806907847735427,31.80531995136064,37.013833538476575,76.2856427651633,66.564917065739,33.190117042971735,30.645250291593545,31.79424539913732,40.352852016092214,75.67401264797442,52.51470772876018,-28.30075576600637,-19.398317503043664,-53.52162505473767,-57.25437955827938,-87.60991751917459,-73.61597977189913,24.55820344158342,18.109334792444766,-31.637137343341738,-39.50104079386383,-72.73351727914493,-53.50753264987678
7,0.8,-39.289406862500364,-30.463317971650678,31.808256212764075,37.151384716764596,76.71358979582982,70.98174622124223,30.230801469708375,26.927061161459278,31.768202504636474,41.363593994131826,74.8784037270811,61.105383476478764,-39.289406862500364,-20.82595869851799,-31.808256212764075,-56.763855268096655,-76.71358979582979,-66.62265383198182,27.349875780069883,17.38292833985827,-31.718933159081615,-41.026163755088376,-73.89841657493315,-49.47002321742037
8,0.9,-39.289406862500364,-32.68424981992136,31.808256212764075,38.49867721430022,76.71358979582982,72.60965614840741,27.349875780069883,22.278514036623527,31.71893315908164,37.44451082665381,73.89841657493318,64.19773130615468,-39.289406862500364,-26.548160427035047,-31.808256212764075,-40.146866276572474,-76.71358979582979,-52.74883101628757,30.23080146970835,16.843092886254688,-31.76820250463645,-38.03112615159606,-74.87840372708108,-50.06482606050668
9,1.0,-28.30075576600637,-32.06198035796829,53.52162505473762,41.691125963065325,87.60991751917456,73.92574358454645,24.558203441583448,25.30364607804369,31.637137343341763,39.446293106436706,72.7335172791449,65.74609058321732,-36.214701282115406,-28.277591504307733,-31.80531995136064,-39.49355994782225,-76.2856427651633,-52.67225272929025,33.190117042971735,18.979188360365743,-31.79424539913732,-38.6865857330147,-75.67401264797442,-54.16896772806461
10,1.1,-18.434948822922006,-30.064803182425216,52.129275126605485,54.52118495360858,82.245347928628,85.14351497574083,21.864302742664176,26.2256208269383,31.512853632058484,39.74686000550824,71.38298164287926,57.736000154594876,-33.190117042971735,-28.747246605296038,-31.79424539913732,-37.25945600596769,-75.67401264797442,-68.3574513538292,36.21470128211538,25.925294542767627,-31.80531995136064,-40.59161547760092,-76.2856427651633,-59.83128827738688
11,1.2,-10.007979801441346,-23.796586941351276,29.895677214181863,53.46172031833921,61.792656183251545,82.16609830933285,19.274387356634314,26.784722891978394,31.33579894564477,39.4716396287204,69.84580756625935,54.92253525054677,-30.230801469708375,-26.874885497721493,-31.768202504636474,-37.79338144609451,-74.8784037270811,-70.305874734491,39.289406862500364,26.243700100177982,-31.808256212764075,-38.648206118142504,-76.71358979582979,-60.408593238512424
12,1.3,-10.007979801441346,-16.429404884061398,29.895677214181863,34.6967874405461,61.792656183251545,60.26308942294341,16.792509120984707,22.70086119755586,31.095640295429217,33.227239887053294,68.12058960225293,68.66122408399909,-27.349875780069883,-25.485391541757167,-31.718933159081615,-34.9375660943354,-73.89841657493315,-76.0623756848153,39.289406862500364,33.19652057522476,-31.808256212764075,-37.23852256892963,-76.71358979582979,-69.81045556221464
