frame_idx,sim_time_s,peak_joint,peak_value
0,3.7960,fl_foot,-0.8164
1,3.8290,fl_foot,-0.8164
2,3.8620,fl_foot,-0.8164
3,3.8950,fl_foot,-0.8164
4,3.9280,fl_foot,-0.8164
5,3.9610,fl_foot,-0.8164
6,3.9940,fl_foot,-0.8164
7,4.0270,fr_knee,-0.8821
8,4.0600,bl_knee,0.8972
9,4.0930,fl_foot,-0.8478
10,4.1260,fr_hip,-0.8633
11,4.1590,br_foot,0.8455
12,4.1920,br_foot,0.8365
13,4.2250,fr_hip,-0.9481
14,4.2580,br_hip,0.9123
15,4.2910,br_hip,0.8743
16,4.3240,fr_hip,-0.9403
17,4.3570,br_hip,0.9448
18,4.3900,br_hip,0.9450
19,4.4230,fl_knee,0.9597
20,4.4560,fl_foot,-0.8585
21,4.4890,fl_foot,-0.8534
22,4.5220,br_knee,-0.9521
23,4.5550,br_knee,-0.9251
24,4.5880,fl_knee,0.8968
25,4.6210,fl_hip,0.9543
26,4.6540,fl_hip,0.9282
27,4.6870,bl_hip,-0.9260
28,4.7200,bl_hip,-0.9253
29,4.7530,bl_hip,-0.9233
30,4.7860,fl_hip,0.9422
31,4.8190,fl_hip,0.9426
32,4.8520,br_knee,-0.9474
33,4.8850,br_foot,0.8546
34,4.9180,br_foot,0.8438
35,4.9510,fl_hip,0.8685
36,4.9840,fl_hip,0.8943
37,5.0170,fl_hip,0.9482
38,5.0500,fl_hip,0.8399
39,5.0830,fl_knee,0.5204
40,5.1160,fl_foot,-0.6185
41,5.1490,fr_hip,0.6258
42,5.1820,fl_foot,-0.6381
43,5.2150,fr_knee,-0.5895
44,5.2480,fr_knee,-0.4890
45,5.2810,bl_knee,0.4299
46,5.3140,fr_knee,-0.4641
47,5.3470,fr_knee,-0.4873
48,5.3800,fr_knee,-0.4560
49,5.4130,fr_knee,-0.4471
50,5.4460,fr_knee,-0.3807
51,5.4790,fl_knee,0.2203
52,5.5120,fl_knee,0.2424
53,5.5450,fr_knee,-0.2517
54,5.5780,fr_knee,-0.2649
55,5.6110,fr_knee,-0.2627
56,5.6440,fr_knee,-0.5169
57,5.6770,bl_knee,0.4901
58,5.7100,bl_knee,0.4459
59,5.7430,bl_knee,0.4421
60,5.7760,bl_knee,0.4616
61,5.8090,bl_knee,0.4483
62,5.8420,bl_knee,0.3638
63,5.8750,bl_knee,0.2299
64,5.9080,br_knee,-0.2588
65,5.9410,bl_knee,0.2974
66,5.9740,bl_knee,0.2913
67,6.0070,bl_knee,0.2855
68,6.0400,fl_knee,0.4606
69,6.0730,br_knee,-0.4711
70,6.1060,br_knee,-0.4679
71,6.1390,br_knee,-0.3706
72,6.1720,br_knee,-0.3629
73,6.2050,br_knee,-0.4054
74,6.2380,br_knee,-0.2499
75,6.2710,fr_knee,-0.3404
76,6.3040,bl_knee,0.2076
77,6.3370,fr_hip,0.2261
78,6.3700,fl_hip,0.2407
79,6.4030,fl_hip,0.2429
80,6.4360,br_knee,-0.4163
81,6.4690,br_knee,-0.3525
82,6.5020,br_knee,-0.3412
83,6.5350,br_knee,-0.3762
84,6.5680,fl_knee,0.3658
85,6.6010,fl_knee,0.3236
86,6.6340,fl_knee,0.3458
87,6.6670,bl_foot,0.2252
88,6.7000,bl_foot,0.2033
89,6.7330,bl_foot,0.2172
90,6.7660,fr_knee,-0.1898
91,6.7990,fr_knee,-0.1907
92,6.8320,fr_knee,-0.3619
93,6.8650,fr_knee,-0.3195
94,6.8980,fr_knee,-0.2878
95,6.9310,fr_knee,-0.3336
96,6.9640,bl_knee,0.3123
97,6.9970,bl_knee,0.3136
98,7.0300,fr_knee,-0.3424
99,7.0630,br_knee,-0.1680
100,7.0960,fl_knee,0.1533
101,7.1290,fr_knee,-0.1587
102,7.1620,fr_knee,-0.1783
103,7.1950,fr_knee,-0.1793
104,7.2280,fr_knee,-0.3576
105,7.2610,bl_knee,0.3826
106,7.2940,bl_knee,0.3481
107,7.3270,bl_knee,0.3157
108,7.3600,bl_knee,0.3474
