Time_Step,Time_s,FR_hip_effort_applied,FR_hip_angle_deg,FR_knee_effort_applied,FR_knee_angle_deg,FR_foot_effort_applied,FR_foot_angle_deg,BR_hip_effort_applied,BR_hip_angle_deg,BR_knee_effort_applied,BR_knee_angle_deg,BR_foot_effort_applied,BR_foot_angle_deg,BL_hip_effort_applied,BL_hip_angle_deg,BL_knee_effort_applied,BL_knee_angle_deg,BL_foot_effort_applied,BL_foot_angle_deg,FL_hip_effort_applied,FL_hip_angle_deg,FL_knee_effort_applied,FL_knee_angle_deg,FL_foot_effort_applied,FL_foot_angle_deg
10,0.2,-0.2574697715899922,-16.550445905721748,-0.6633284925935147,38.40837403582368,0.9414,38.24795491147326,0.14250477823768692,8.501750510884422,-0.7073642641171153,37.43353760240814,0.9414,36.878782334668955,-0.23779314923608624,-14.279977537417452,0.6551778080928544,-38.08107864119098,-0.9414,-37.74768362968723,0.159226341149509,8.323575174082444,0.7232398771375455,-37.60521335925257,-0.9414,-36.06426771461393
11,0.22,-0.42405353091207343,-16.550445905721748,-0.8545574732152356,39.21436790251588,0.9414,38.48450695654251,0.24341880430741636,11.877111391421433,0.24972373601496634,42.70839726304705,0.9414,39.27618236644575,-0.3505023518268018,-12.980064445404546,0.7697590899789547,-38.08107864119098,-0.9414,-37.96182100389374,0.2363244055118936,8.759845600994733,0.5265609344371301,-37.2073777601225,-0.9414,-36.954686199832345
12,0.24,-0.35355894075366134,-16.964575037365773,-0.8918008286078756,40.39504643491674,0.9414,38.3264226092397,0.46007200037651497,13.307705323121363,-0.25992971342914295,47.78738614776334,0.9414,44.227980697998206,-0.30406341170351064,-11.481961293535411,0.8270144642415437,-38.59394066047454,-0.9414,-39.88599372770368,0.1990314957645527,9.32460437407552,0.34175764499060296,-35.61049165231453,-0.9414,-43.470053454062274
13,0.26,-0.4711226588440241,-16.964575037365773,-0.8189712229647299,40.73633512828969,0.9414,38.651937198272655,0.448974183984315,13.286807010221557,-0.5041354361541495,47.78738614776334,0.9414,46.43199155606664,-0.17249189423924638,-11.81824898546733,0.8785208384464651,-39.452557988201484,-0.9414,-40.30341291776812,0.1484252906491817,9.32460437407552,0.44182487445707336,-34.521117496136135,-0.8337991530231961,-50.36216278053238
14,0.28,-0.624726464937715,-16.536656410349323,-0.7222660979880372,40.351548418909445,0.9414,39.218254785332185,0.38789162623997503,13.405577442690344,-0.48198322407240934,55.99206234671762,0.9414,49.29925686791196,-0.059432864803570046,-12.371126421269318,0.828459357394297,-39.887288497087894,-0.9414,-40.30341291776812,0.18123002431351506,10.318832455804204,0.36986239609166705,-34.78884898795892,-0.9414,-54.337638379539825
15,0.3,-0.6933817472417251,-16.025055776814632,-0.6956106468069032,39.705113380597496,0.9414,40.12442346028377,0.3086701332468659,13.7481032723004,-0.5083050207481481,56.62652690993501,0.9414,49.29925686791196,0.004457106762379162,-13.733077738669593,0.7838370562986164,-39.72150329413219,-0.9414,-38.997124777683965,0.1841668691741964,10.185200561615867,0.605930241590056,-35.19131690706071,-0.9414,-52.77480456022571
16,0.32,-0.8797526307250806,-14.310807402469733,-0.7296093520957372,39.456690400900456,0.9414,40.12442346028377,0.3267270042566883,19.278621352367797,-0.5128385324375153,57.69365852454893,0.9414,49.29925686791196,0.007574979406278354,-13.733077738669593,0.7716906897873065,-39.40368079393267,-0.9414,-38.997124777683965,0.2395550901869951,10.185200561615867,0.6244192787560335,-36.233174630465754,-0.9414,-52.62897908936156
17,0.34,-0.6342400492493713,-15.296099499545015,-0.6731918303183737,39.456690400900456,0.9414,41.30547616354033,0.502187940390924,21.82057355849712,-0.37748986307436283,58.462656339009925,0.9414,49.29925686791196,-0.08423346076628623,-12.400053755241414,0.5991101414084901,-38.94707039790863,-0.9414,-37.61950319844967,0.22801857362273398,10.185200561615867,0.6422013600540947,-37.0084666065021,-0.9365288164776886,-53.70783704820106
18,0.36,-0.5602981144868581,-15.296099499545015,-0.6967964579358489,39.015450012762855,0.9414,41.08504750955324,0.6764764720137939,21.620880060591542,-0.4293243528162668,57.76961325292171,0.9414,63.31075900664207,-0.22503308857384766,-11.765868663465309,0.6618429652226265,-37.61220750740897,-0.9414,-36.749996878573114,0.12201144119658902,11.964887743372199,0.5379094303712219,-37.0084666065021,-0.8129546245232384,-55.20734730101854
19,0.38,-0.5498194682239597,-17.646287935549466,-0.7174251346757607,39.01900917347194,0.9414,41.063311625880765,0.6689798308725708,21.620880060591542,-0.4525467930242781,57.83446082780202,0.9414,62.20553397216398,-0.2496955451038763,-10.27280335959987,0.7113263887849852,-37.68530301925613,-0.9414,-36.69808110361445,0.1125520955876213,12.922837167841738,0.5716547159928387,-36.88094790974187,-0.7575391126523743,-58.40153331160497
20,0.4,-0.5850282907743584,-18.167719991737385,-0.7268811149115407,39.236025941377925,0.9414,41.013920474199224,0.6410003326284304,21.620880060591542,-0.4715976321895394,58.15042449362105,0.9414,61.79095499334156,-0.2088152534702457,-9.904044467237709,0.7280143928987154,-37.78328746327861,-0.9414,-37.05026282892866,0.1489275017663745,12.96712700815998,0.5931312949368729,-36.88094790974187,-0.7979134219016994,-59.14249636040373
21,0.42,-0.9414,-18.167719991737385,-0.6141851473410884,39.265051970489566,0.9414,41.20353748912486,0.9414,21.79370498798701,-0.9414,56.86287983114318,0.9414,61.79095499334156,-0.21051309685672356,-9.115118557462017,0.668946874150159,-37.81610826620034,-0.9414,-37.05026282892866,0.16951750828713796,13.151825980896719,0.8688730983430165,-38.57157979921118,-0.8757094895365336,-59.66156027687436
22,0.44,-0.9088415514810525,-16.973120358525097,-0.5150532210224996,38.12916697033256,0.9414,41.20353748912486,0.9414,22.900021402920512,-0.9414,56.86287983114318,0.9414,57.87671172867337,-0.2864719982384345,-8.071321567161657,0.49080341965828234,-36.71086128203069,-0.9414,-37.804503190592385,0.14793013265671573,13.151825980896719,0.9179116001135773,-39.6570570189383,-0.8954768472147687,-59.99484734479456
23,0.46,-0.7114962397418247,-17.36542684929851,-0.5688756855451962,38.12916697033256,0.9414,43.06849397271189,0.9414,25.459047881203308,-0.7192479781332894,46.27816937233334,0.9414,57.87671172867337,-0.20269813897099198,-8.071321567161657,0.5592056641153832,-36.02757728531543,-0.9414,-41.02824998163786,0.18336811183895266,14.9469387617913,0.8006487153411208,-40.426594445325065,-0.9414,-59.86370274236331
24,0.48,-0.7110275107587362,-19.036800261538666,-0.6445363728519441,37.67581705563581,0.9414,45.45783458958438,0.900640972036632,26.603793840657392,-0.5756073282664275,40.37939036763882,0.9414,50.4813004514456,-0.08675999312150917,-8.071321567161657,0.5485618316339816,-36.02757728531543,-0.9414,-46.12241774223333,0.1600722686911457,14.910005463574663,0.6440096028646473,-40.199827449964545,-0.9414,-58.80592712704958
25,0.5,-0.8335606036076832,-19.036800261538666,-0.6249939785071864,37.67581705563581,0.9414,46.4594170838141,0.8889342965063864,28.66441070071014,-0.5878160653522211,39.116705837453694,0.9414,49.116503042409484,-0.106367829772364,-8.880650689886762,0.44774355363952745,-35.67502007098424,-0.9414,-50.29841671443234,0.17618955352951374,15.00680573289588,0.6376020875490518,-40.199827449964545,-0.9414,-58.80592712704958
26,0.52,-0.9414,-19.036800261538666,-0.6282632146165656,38.1898874765409,0.9414,46.468225940797794,0.9148112065943969,28.979267115842404,-0.7058001959095636,38.61148508318896,0.9414,49.116503042409484,-0.15963954691647386,-8.744581259435035,0.6878858447792253,-35.596854101834765,-0.9414,-52.17583323779051,0.32036173071107976,15.00680573289588,0.7057880845206607,-38.41978042380378,-0.9414,-56.815219236639685
27,0.54,-0.9414,-18.311152274022216,-0.6713555125296774,38.459277298466766,0.9414,47.2238996108275,0.9414,28.97934392284415,-0.7523586498537622,38.76898993981824,0.9414,49.116503042409484,-0.18600953787881047,-8.404799276405791,0.7277460522277489,-36.54012038113023,-0.9414,-52.43248093507458,0.29577588037125674,15.579262652057821,0.7496059206114795,-38.88153102589948,-0.9414,-56.8400559993837
28,0.56,-0.9414,-18.658780685286185,-0.6683875455896591,38.56157552087851,0.9414,47.56092844691368,0.9414,28.475096301088907,-0.7563103825708124,39.50239508131987,0.9414,49.32584934327757,-0.1963322625603873,-8.404799276405791,0.7160623873518775,-37.33251395200609,-0.9414,-52.41526818203635,0.29619032707755377,15.928182713929223,0.7606969023522544,-39.2045358118412,-0.9414,-57.747300625670455
29,0.58,-0.9056983078501695,-18.658780685286185,-0.6582293236773742,38.76194973895757,0.9414,47.56092844691368,0.9414,28.342391333123103,-0.750172599685116,39.74812768339843,0.9414,49.08171679341261,-0.2116115412447316,-8.028011021076834,0.6963015577493353,-37.39713012171924,-0.9414,-52.01540118559414,0.2913216709641284,15.984405378207603,0.7614180331199395,-39.28070891201265,-0.9414,-58.032067019967606
30,0.6,-0.8781435903094563,-20.006455289264675,-0.6520338767756034,38.71894356752241,0.9414,47.547395083586224,0.9414,27.403222158917853,-0.7442259168713231,39.76090881918976,0.9414,48.8081851103345,-0.22456460297327688,-7.85280355715817,0.6858525840149523,-37.29055045260227,-0.9414,-51.871935356663386,0.27786593653788866,16.148156611854382,0.7556404453710587,-39.30762983714079,-0.9414,-59.114489044023586
