Time_Step,Time_s,FR_hip_effort_applied,FR_hip_angle_deg,FR_knee_effort_applied,FR_knee_angle_deg,FR_foot_effort_applied,FR_foot_angle_deg,BR_hip_effort_applied,BR_hip_angle_deg,BR_knee_effort_applied,BR_knee_angle_deg,BR_foot_effort_applied,BR_foot_angle_deg,BL_hip_effort_applied,BL_hip_angle_deg,BL_knee_effort_applied,BL_knee_angle_deg,BL_foot_effort_applied,BL_foot_angle_deg,FL_hip_effort_applied,FL_hip_angle_deg,FL_knee_effort_applied,FL_knee_angle_deg,FL_foot_effort_applied,FL_foot_angle_deg
0,0.0,0.01538388667444536,-18.872371446260956,-0.016692570931891238,31.312289976769765,-0.04271330013546824,71.21807922186989,0.006686065284513876,9.423961910785836,-0.04116831085179937,30.010251905344035,-0.17108502420992844,62.87203914920074,0.12723768965913543,-17.358832210395384,0.06560312022522376,-31.077627664975118,0.1984990295738543,-70.14132065947375,-0.19298640146705784,10.684685836849253,0.16294971081191625,-30.051746487561054,0.15429854551300984,-63.390454687772994
1,0.02,0.015368703893008137,-18.872371446260956,-0.016691750314608657,31.312289976777063,-0.04276086045935239,71.21806752686474,0.006705322284450803,9.423980007391568,-0.04117213556996327,30.010250003343444,-0.1711227017901864,62.872039149284845,0.12725759624705174,-17.358832210395384,0.06560249146636951,-31.07762766498285,0.19856956639034828,-70.14132065943254,-0.19301002296362438,10.684685836847136,0.16295515865680202,-30.051746487556404,0.15435323621398517,-63.39044104992159
2,0.04,0.015354279339689435,-18.87234575824642,-0.016690970728176806,31.3122899767817,-0.04280604257751229,71.21806752686474,0.006724578454416971,9.42398970385792,-0.04117595995870616,30.010247998275343,-0.1711584954914414,62.872039149376725,0.12727750291672363,-17.358835776244085,0.06560186270749828,-31.07762766498807,0.19864010320680733,-70.14132065940505,-0.1930324633853594,10.684685836843958,0.1629603341094274,-30.051746487552574,0.1544051912591285,-63.390428022727036
3,0.06,0.015338336084647589,-18.87234575824642,-0.016690109079986963,31.31228997678979,-0.04285598032705033,71.21805874528992,0.006743834125085106,9.424013629472807,-0.04117978461921812,30.010246297473568,-0.17119805695069845,62.87203914944461,0.12729740937388875,-17.358835776244085,0.06560123394862004,-31.07762766499377,0.1987106400232759,-70.14132065934979,-0.19305726595675135,10.684685836841096,0.16296605434654532,-30.051746487544182,0.15446261462245195,-63.390417475391104
4,0.08,0.015323151362752148,-18.872325337158703,-0.01668928846265894,31.312289976794712,-0.04290353979766437,71.21805425314719,0.006763089124058541,9.424024624247409,-0.04118360923699636,30.010244897032962,-0.1712357345309503,62.872039149528234,0.1273173157744218,-17.358839019141566,0.06560060518971149,-31.07762766500141,0.19878117683970511,-70.14132065933137,-0.19308088745331473,10.68468583683907,0.16297150219140277,-30.051746487544182,0.15451730260719967,-63.39040444094318
5,0.1,0.015307965649112437,-18.872307542892464,-0.016688467845303912,31.312289976801182,-0.04295109906389226,71.21805230024147,0.00678234327728066,9.424036269747676,-0.04118743349393167,30.01024339467677,-0.17127341211118052,62.872039149611844,0.12733722227371364,-17.358839019141566,0.06559997643078654,-31.077627665007586,0.19885171365614826,-70.14132065933137,-0.19310450894987308,10.684685836837028,0.16297695003626578,-30.051746487534235,0.15457198937643504,-63.39038829124552
6,0.12,0.015292779601501133,-18.872302270886717,-0.016687647227944635,31.31228997680687,-0.04299865797088706,71.21804800040209,0.006801596925444214,9.424050503480291,-0.041191258012540685,30.01024339467677,-0.17131108969141573,62.87203914963169,0.12735712856793616,-17.358839019141566,0.06559934767185399,-31.077627665013246,0.1989222504725487,-70.14132065933137,-0.1931281304464335,10.684685836833886,0.16298239788111213,-30.051746487531087,0.15462667552398968,-63.39037710762492
7,0.14,0.015277592082615463,-18.87227854094372,-0.016686826610559452,31.312289976810813,-0.0430462167814053,71.21804291627731,0.006820849480306618,9.424065388182324,-0.04119508170905161,30.010239093153054,-0.1713487672716537,62.87203914976268,0.1273770351935679,-17.358844149118795,0.06559871891289162,-31.077627665015996,0.19899278728894307,-70.14132065915966,-0.19315175194299047,10.684685836832678,0.16298784572596348,-30.051746487531087,0.15468136003100372,-63.39036529776388
8,0.16,0.015262405169871249,-18.87227524270468,-0.016686005993168898,31.31228997681517,-0.04309377501701947,71.21803998253046,0.006840102015133305,9.424076392894438,-0.04119890656801549,30.010235990302103,-0.17138644485185006,62.87203914976268,0.1273969411648225,-17.358846355902102,0.06559809015391285,-31.077627665015996,0.1990633241053369,-70.14132065911522,-0.19317537343954813,10.684685836829381,0.16299329357079856,-30.051746487520298,0.15473604475485306,-63.390350991652966
9,0.18,0.015247217080498185,-18.87226007747667,-0.016685185375764088,31.312289976822296,-0.04314133308633246,71.21803998253046,0.00685935360920429,9.4240861034548,-0.04120273088345049,30.010234590599026,-0.1714241224320714,62.87203914992099,0.12741684733197114,-17.358847850962015,0.06559746139492591,-31.07762766502649,0.19913386092170138,-70.1413206590684,-0.1931989949361058,10.684685836826686,0.16299874141563825,-30.051746487520298,0.15479072810454358,-63.39033854819861
