Time_Step,Time_s,FR_hip_command,FR_hip_state,FR_knee_command,FR_knee_state,FR_foot_command,FR_foot_state,BR_hip_command,BR_hip_state,BR_knee_command,BR_knee_state,BR_foot_command,BR_foot_state,BL_hip_command,BL_hip_state,BL_knee_command,BL_knee_state,BL_foot_command,BL_foot_state,FL_hip_command,FL_hip_state,FL_knee_command,FL_knee_state,FL_foot_command,FL_foot_state
10,1.1,-18.434948822922006,-19.375583394991416,52.129275126605485,49.94192030628904,82.245347928628,85.546782023013,21.864302742664176,23.138697222171047,31.512853632058484,33.67686020334156,71.38298164287926,72.78122720276274,-33.190117042971735,-34.21305554167462,-31.79424539913732,-30.12857310196038,-75.67401264797442,-75.77270290246071,36.21470128211538,33.712573022133434,-31.80531995136064,-33.805545372546625,-76.2856427651633,-77.23027825865843
11,1.2,-10.007979801441346,-18.003108190066364,29.895677214181863,50.56623989462351,61.792656183251545,82.17083242911045,19.274387356634314,20.4139651716968,31.33579894564477,32.15910916034927,69.84580756625935,71.32793133981554,-30.230801469708375,-31.44946942194105,-31.768202504636474,-30.989606159660116,-74.8784037270811,-75.39536043136042,39.289406862500364,36.5443509838648,-31.808256212764075,-33.734017176953955,-76.71358979582979,-76.66142084124833
12,1.3,-10.007979801441346,-11.684040574213675,29.895677214181863,30.741923995357823,61.792656183251545,63.02908130037226,16.792509120984707,19.666547178106644,31.095640295429217,31.370660586464307,68.12058960225293,69.33305842163384,-27.349875780069883,-30.138299705824522,-31.718933159081615,-31.918422527321578,-73.89841657493315,-76.44178237531175,39.289406862500364,37.85681747800306,-31.808256212764075,-32.30989344441186,-76.71358979582979,-76.07203208135391
13,1.4,-12.159595728526515,-12.015773229543127,30.385445910816152,30.512729208230347,64.09731896322953,63.441580403398284,14.420773127510978,16.162489602271965,30.782180240859578,30.273442894463173,66.20534992257404,67.86158809887563,-24.558203441583448,-28.39505224361971,-31.637137343341738,-31.91888662591527,-72.73351727914493,-74.88159445741846,28.30075576600637,34.78780144425056,-53.52162505473764,-36.460180371884185,-87.60991751917459,-81.85217489824291
14,1.5,-14.420773127510978,-13.507385247160336,30.782180240859578,32.93675655461073,66.20534992257404,67.15076933877978,12.159595728526515,12.602904268356719,30.385445910816152,27.999824367759466,64.09731896322957,66.07773295673341,-21.864302742664176,-23.798029833696255,-31.512853632058512,-34.119044970489625,-71.38298164287927,-74.5367898482723,18.434948822922006,22.52754504482833,-52.12927512660551,-49.392973359097304,-82.245347928628,-86.66715968458108
15,1.6,-16.792509120984707,-15.570265754713907,31.095640295429217,32.93367469064036,68.12058960225293,69.49778279315314,10.007979801441346,11.829778810965069,29.895677214181863,27.483689725716722,61.792656183251545,63.980954693685966,-19.274387356634314,-21.616704243176986,-31.33579894564477,-34.062530060799325,-69.84580756625935,-72.51052586956824,10.007979801441346,15.593448420446501,-29.895677214181838,-41.264362722809615,-61.792656183251516,-78.96789713634217
16,1.7,-19.274387356634314,-17.429578141784866,31.33579894564477,31.386640074731734,69.84580756625935,69.20638390315273,10.007979801441346,10.42715946484352,29.895677214181863,29.976002193536598,61.792656183251545,63.44202043566202,-16.792509120984707,-18.84304055100694,-31.095640295429217,-31.372617811879035,-68.12058960225296,-70.07046092817306,10.007979801441346,11.103229294401082,-29.895677214181838,-30.82725029011074,-61.792656183251516,-63.4816004371716
17,1.8,-21.864302742664176,-18.95276848735709,31.512853632058484,32.2977787612013,71.38298164287926,70.4338238195506,18.434948822922006,13.134503612530969,52.129275126605485,34.94742034665065,82.245347928628,65.18104827715256,-14.420773127510978,-17.116066393243774,-30.782180240859578,-31.22539821951532,-66.20534992257402,-69.09951090661917,12.159595728526515,11.35777437378037,-30.385445910816152,-30.500359353478544,-64.09731896322955,-63.78425680911577
18,1.9,-24.55820344158342,-23.339350085904282,31.637137343341763,34.212563121768156,72.7335172791449,74.09829368055462,28.30075576600637,21.26755994023156,53.52162505473767,49.36445327753284,87.60991751917456,81.21153649644414,-12.159595728526515,-15.381707041723955,-30.38544591081618,-34.30896939471468,-64.09731896322957,-66.38260560925124,14.420773127510978,13.014232352370705,-30.782180240859578,-28.42954487981934,-66.20534992257402,-64.72169111317302
19,2.0,-27.349875780069883,-24.748081988558038,31.71893315908164,33.78276248688822,73.89841657493318,75.2065291947692,39.289406862500364,30.82021499931479,31.808256212764075,49.584909807891,76.71358979582982,84.46196654292753,-10.007979801441346,-11.922791369400725,-29.895677214181838,-33.69421474623001,-61.792656183251516,-64.2927847574136,16.792509120984707,15.613117991407538,-31.095640295429217,-28.7473968505917,-68.12058960225296,-67.35884688312893
20,2.1,-30.23080146970835,-25.589043602035858,31.768202504636474,31.691037669188372,74.8784037270811,75.00007796234138,39.289406862500364,36.794127458946484,31.808256212764075,33.128895955361806,76.71358979582982,75.40451410983187,-10.007979801441346,-10.941756703886222,-29.895677214181838,-31.48552764766321,-61.792656183251516,-61.44203442613969,19.274387356634314,16.95084735722884,-31.33579894564477,-31.274575146824372,-69.84580756625935,-69.685675981729
21,2.2,-33.190117042971735,-29.685534861783985,31.79424539913732,31.617695549849,75.67401264797442,75.95763053622662,36.214701282115406,35.514538150754454,31.80531995136064,33.022463132616245,76.2856427651633,75.20406721021352,-18.434948822922006,-10.112497888966871,-52.129275126605485,-34.73554394805725,-82.24534792862798,-68.96502260559264,21.864302742664176,17.90757711746517,-31.512853632058512,-32.330310841574196,-71.38298164287927,-70.63517066580812
22,2.3,-36.21470128211538,-32.8213401386658,31.80531995136064,29.28597704737426,76.2856427651633,76.31996942626262,33.190117042971735,35.54602912476388,31.79424539913732,35.13070690990737,75.67401264797442,76.2389671194454,-28.30075576600637,-20.80693516636635,-53.52162505473767,-51.11683310025993,-87.60991751917459,-83.16961317721852,24.55820344158342,22.424028782999976,-31.637137343341738,-34.91236397089781,-72.73351727914493,-72.1292633824185
23,2.4,-39.289406862500364,-35.3627773196841,31.808256212764075,29.663147857369246,76.71358979582982,76.88220305547661,30.230801469708375,33.08347187990929,31.768202504636474,33.43753821514522,74.8784037270811,74.81306722516757,-39.289406862500364,-26.785981825412154,-31.808256212764075,-51.31386270152446,-76.71358979582979,-84.28317410788887,27.349875780069883,21.680316630240537,-31.718933159081615,-33.2668707460387,-73.89841657493315,-73.4235780507643
24,2.5,-39.289406862500364,-39.56476623523842,31.808256212764075,30.705136455841913,76.71358979582982,79.15334863118618,27.349875780069883,30.33984248984355,31.71893315908164,32.11955441122376,73.89841657493318,74.23951278039989,-39.289406862500364,-36.237046114447836,-31.808256212764075,-33.63666673969944,-76.71358979582979,-74.45772083418663,30.23080146970835,25.93775691595972,-31.76820250463645,-32.32505587755486,-74.87840372708108,-74.52467614644009
