Step,FR_hip_cmd,FR_hip_state,FR_knee_cmd,FR_knee_state,FR_foot_cmd,FR_foot_state,BR_hip_cmd,BR_hip_state,BR_knee_cmd,BR_knee_state,BR_foot_cmd,BR_foot_state,BL_hip_cmd,BL_hip_state,BL_knee_cmd,BL_knee_state,BL_foot_cmd,BL_foot_state,FL_hip_cmd,FL_hip_state,FL_knee_cmd,FL_knee_state,FL_foot_cmd,FL_foot_state
32,-10.007979801441346,-29.99549661884864,29.895677214181863,69.75033722309362,61.792656183251545,89.03767067033566,21.864302742664176,24.720992780994646,31.512853632058484,28.352215312853623,71.38298164287926,24.67276305142248,-33.190117042971735,-26.33445842747321,-31.79424539913732,-34.20443857366668,-75.67401264797442,-45.61027478788173,39.289406862500364,28.411219602305252,-31.808256212764075,-50.52030531244441,-76.71358979582979,-29.918947646013535
33,-10.007979801441346,-30.03600607040788,29.895677214181863,59.560910653218,61.792656183251545,92.16654336909761,19.274387356634314,22.88877780200239,31.33579894564477,32.36647468969555,69.84580756625935,30.632455090700855,-30.230801469708375,-29.292534404142568,-31.768202504636474,-29.518843086165166,-74.8784037270811,-23.234842025895166,28.30075576600637,27.925664715230802,-53.52162505473764,-49.33956240596254,-87.60991751917459,-25.054801824873667
34,-10.007979801441346,-28.87334219282429,29.895677214181863,56.139503543487756,61.792656183251545,92.8137938539038,16.792509120984707,21.776034628894188,31.095640295429217,35.28543770028098,68.12058960225293,26.878899228330948,-27.349875780069883,-30.295944071875102,-31.718933159081615,-28.377885844697122,-73.89841657493315,-45.63105629173268,18.434948822922006,27.252300723957095,-52.12927512660551,-57.783082025513856,-82.245347928628,-65.61549499952986
35,-12.159595728526515,-27.614598907333963,30.385445910816152,54.20460851561079,64.09731896322953,72.83632757282689,14.420773127510978,20.359369595321436,30.782180240859578,39.059729925291116,66.20534992257404,26.024421964583226,-24.558203441583448,-30.132606613973426,-31.637137343341738,-26.62605095662514,-72.73351727914493,-47.17577637508262,10.007979801441346,26.96603755362675,-29.895677214181838,-61.32038891003032,-61.792656183251516,-89.3990542178672
36,-14.420773127510978,-26.087471752719694,30.782180240859578,46.16495579554131,66.20534992257404,88.72357650227177,12.159595728526515,19.593312904606492,30.385445910816152,35.21931510866111,64.09731896322957,36.869977047403616,-21.864302742664176,-31.73327235396457,-31.512853632058512,-37.217452358573425,-71.38298164287927,-37.59655607144069,10.007979801441346,25.162295835890614,-29.895677214181838,-58.116071391599725,-61.792656183251516,-69.49272547506118
37,-16.792509120984707,-25.507037062680826,31.095640295429217,36.651607915430475,68.12058960225293,81.48521475621857,10.007979801441346,17.994714829196827,29.895677214181863,34.05899049561365,61.792656183251545,48.3622846179933,-19.274387356634314,-31.113176201005253,-31.33579894564477,-45.46714474587611,-69.84580756625935,-19.412437520249448,10.007979801441346,23.628685577053027,-29.895677214181838,-54.518114653382696,-61.792656183251516,-41.078378812890485
38,-19.274387356634314,-24.390770727965965,31.33579894564477,43.578002840445755,69.84580756625935,90.92773858243869,10.007979801441346,17.063698951077466,29.895677214181863,40.130294642508204,61.792656183251545,52.52976799127559,-16.792509120984707,-30.915803507543462,-31.095640295429217,-38.41359110710031,-68.12058960225296,-10.650346178060866,10.007979801441346,22.032597305352766,-29.895677214181838,-52.077499228844594,-61.792656183251516,-18.04870788338339
39,-21.864302742664176,-22.636218390604373,31.512853632058484,46.44649980386362,71.38298164287926,81.08156772407382,10.007979801441346,17.15344231306686,29.895677214181863,43.97366803582251,61.792656183251545,38.490555282715825,-14.420773127510978,-31.68529386686457,-30.782180240859578,-36.15344386515267,-66.20534992257402,-28.838094595792917,12.159595728526515,21.234087467875096,-30.385445910816152,-60.920772893204635,-64.09731896322955,-55.122397578890066
40,-24.55820344158342,-23.196669614872345,31.637137343341763,42.924761265214464,72.7335172791449,63.7112690618904,10.007979801441346,15.985793559112647,29.895677214181863,50.66329093901394,61.792656183251545,28.950277324041927,-12.159595728526515,-31.81640090012564,-30.38544591081618,-29.752173619766985,-64.09731896322957,-33.1380818859725,14.420773127510978,18.07967028320138,-30.782180240859578,-67.25984557266871,-66.20534992257402,-83.36703042514006
41,-27.349875780069883,-24.828990931681993,31.71893315908164,51.97404868216498,73.89841657493318,86.10600211301772,18.434948822922006,16.845798347457684,52.129275126605485,50.907527159027744,82.245347928628,16.081400424537815,-10.007979801441346,-31.308945985790114,-29.895677214181838,-28.876448377274155,-61.792656183251516,-36.833884990677376,16.792509120984707,19.28537040159541,-31.095640295429217,-60.092128799716384,-68.12058960225296,-43.41930393724111
42,-30.23080146970835,-26.70817064502078,31.768202504636474,52.93695938975734,74.8784037270811,83.53861815212049,28.30075576600637,18.735433563848922,53.52162505473767,41.85479764509383,87.60991751917456,12.41978780063004,-10.007979801441346,-29.929748615303804,-29.895677214181838,-24.679658524524395,-61.792656183251516,-26.529916791043505,19.274387356634314,20.79560899735908,-31.33579894564477,-63.06568651706506,-69.84580756625935,-50.52450378500084
