Time_Step,Time_s,FR_hip_command,FR_hip_state,FR_knee_command,FR_knee_state,FR_foot_command,FR_foot_state,BR_hip_command,BR_hip_state,BR_knee_command,BR_knee_state,BR_foot_command,BR_foot_state,BL_hip_command,BL_hip_state,BL_knee_command,BL_knee_state,BL_foot_command,BL_foot_state,FL_hip_command,FL_hip_state,FL_knee_command,FL_knee_state,FL_foot_command,FL_foot_state
0,0.1,-19.274387356634314,-16.550400152532248,31.33579894564477,38.38535982930455,69.84580756625935,38.24814807981171,10.007979801441346,8.493445732185597,29.895677214181863,37.41030112066953,61.792656183251545,36.88256571650218,-16.792509120984707,-14.287545105400875,-31.095640295429217,-38.04898288553498,-68.12058960225296,-37.71464895389048,10.007979801441346,8.323670332775148,-29.895677214181838,-37.580280363190504,-61.792656183251516,-36.036669846738114
1,0.2,-21.864302742664176,-16.548560504041717,31.512853632058484,38.467281453402386,71.38298164287926,38.56676561525828,18.434948822922006,12.840242603864457,52.129275126605485,42.98408593017759,82.245347928628,38.38523287360434,-14.420773127510978,-13.339724497266028,-30.782180240859578,-37.848216148087666,-66.20534992257402,-38.13680309897047,12.159595728526515,8.571971383032807,-30.385445910816152,-36.4934215993603,-64.09731896322955,-36.03520004599212
2,0.3,-24.55820344158342,-14.597418715124977,31.637137343341763,39.373154324721796,72.7335172791449,40.39997597732819,28.30075576600637,17.960081333853058,53.52162505473767,58.013517711588854,87.60991751917456,56.2046716029045,-12.159595728526515,-13.559366389946064,-30.38544591081618,-39.172075843120176,-64.09731896322957,-38.30289307063193,14.420773127510978,10.148100808803283,-30.782180240859578,-35.770005096994765,-66.20534992257402,-52.74526546964246
3,0.4,-27.349875780069883,-18.558219077721194,31.71893315908164,38.738337267680464,73.89841657493318,40.8665816244842,39.289406862500364,22.658751042988193,31.808256212764075,58.42867657338256,76.71358979582982,63.945984424849335,-10.007979801441346,-8.512819465329484,-29.895677214181838,-37.51619751118784,-61.792656183251516,-36.724405270546654,16.792509120984707,14.579418320042405,-31.095640295429217,-37.20975053893784,-68.12058960225296,-59.471385152634014
4,0.5,-30.23080146970835,-19.29859791047166,31.768202504636474,38.07394319185575,74.8784037270811,47.49571308458947,39.289406862500364,29.635096633030383,31.808256212764075,38.57030873513025,76.71358979582982,51.81992335552148,-10.007979801441346,-8.974490205541017,-29.895677214181838,-35.7877311743245,-61.792656183251516,-52.18373274715077,19.274387356634314,15.191103235987557,-31.33579894564477,-38.23489665572588,-69.84580756625935,-56.24933346058232
5,0.6,-33.190117042971735,-22.98885616400897,31.79424539913732,38.634292493505846,75.67401264797442,49.09152399468488,36.214701282115406,26.84856174026451,31.80531995136064,40.26200354676021,76.2856427651633,52.13648144290191,-18.434948822922006,-8.288308234329685,-52.129275126605485,-38.220491770029355,-82.24534792862798,-52.357208335557026,21.864302742664176,16.430191892181757,-31.512853632058512,-39.42105986869447,-71.38298164287927,-58.26688325893418
6,0.7,-36.21470128211538,-27.756617793345626,31.80531995136064,36.57029221751401,76.2856427651633,67.33346755592372,33.190117042971735,31.03540398152763,31.79424539913732,40.854744580512126,75.67401264797442,56.966024031089404,-28.30075576600637,-16.655713050189643,-53.52162505473767,-56.44204295471296,-87.60991751917459,-72.59815129626715,24.55820344158342,18.213340630218195,-31.637137343341738,-40.86109316905398,-72.73351727914493,-52.35652492596575
7,0.8,-39.289406862500364,-31.00407398058924,31.808256212764075,35.32483969210741,76.71358979582982,71.52190639749828,30.230801469708375,27.37839951978476,31.768202504636474,41.67051182795002,74.8784037270811,64.71342143531966,-39.289406862500364,-21.577890895112407,-31.808256212764075,-43.55920561536209,-76.71358979582979,-65.63015523739077,27.349875780069883,17.295644442252467,-31.718933159081615,-40.99339374662129,-73.89841657493315,-48.60239792058577
8,0.9,-39.289406862500364,-33.2304768728438,31.808256212764075,38.35673014978332,76.71358979582982,72.70921021068253,27.349875780069883,23.448466912396714,31.71893315908164,37.48000350572543,73.89841657493318,66.5860343174457,-39.289406862500364,-26.622759233685567,-31.808256212764075,-39.610942510008535,-76.71358979582979,-53.702618040264696,30.23080146970835,16.277843470314572,-31.76820250463645,-37.78064896985692,-74.87840372708108,-48.830724585191675
9,1.0,-28.30075576600637,-33.83735670658386,53.52162505473762,45.09452614492726,87.60991751917456,76.19233452315278,24.558203441583448,24.811539312434828,31.637137343341763,38.4639687919031,72.7335172791449,66.43166599752662,-36.214701282115406,-27.094007559740525,-31.80531995136064,-38.689484986696165,-76.2856427651633,-54.54127507454986,33.190117042971735,19.771730331331717,-31.79424539913732,-38.63229468824778,-75.67401264797442,-54.66697999697079
