Time_Step,Time_s,FR_hip_effort_applied,FR_hip_angle_deg,FR_knee_effort_applied,FR_knee_angle_deg,FR_foot_effort_applied,FR_foot_angle_deg,BR_hip_effort_applied,BR_hip_angle_deg,BR_knee_effort_applied,BR_knee_angle_deg,BR_foot_effort_applied,BR_foot_angle_deg,BL_hip_effort_applied,BL_hip_angle_deg,BL_knee_effort_applied,BL_knee_angle_deg,BL_foot_effort_applied,BL_foot_angle_deg,FL_hip_effort_applied,FL_hip_angle_deg,FL_knee_effort_applied,FL_knee_angle_deg,FL_foot_effort_applied,FL_foot_angle_deg
0,0.0,-0.3018158991511091,-15.9842766794928,-0.6239938853981503,38.20592757275757,0.9414,40.05839929785102,0.15630375827019213,8.300899845928772,-0.688744758728709,37.471735314530996,0.9414,40.65727794448985,-0.2033112495999313,-14.573014412707513,0.7469629590823222,-39.319994062151686,-0.9414,-43.133070174777046,0.12672189302140985,8.630954685756738,0.7928316742305336,-38.60874227071396,-0.9414,-39.49188792764787
1,0.02,-0.3019307456797819,-15.984276679492043,-0.6241751140639461,38.20378228479971,0.9414,40.05197203548788,0.15622734143305297,8.302234620214918,-0.6887343770095266,37.468010899977415,0.9414,40.65727794449191,-0.20306356539053727,-14.578165378575786,0.7463649208390795,-39.3092462576041,-0.9414,-43.13307017481225,0.127225682631623,8.624457692354747,0.7931358175753549,-38.60874227071396,-0.9414,-39.49160633264629
2,0.04,-0.3020450325690522,-15.98428309122985,-0.6236144581395311,38.20276695638794,0.9414,40.04365282164417,0.15624524196598674,8.303344262731475,-0.6889746210590811,37.46604786113504,0.9414,40.65727794449669,-0.20308652837352192,-14.58228482014098,0.7464081755104167,-39.29826721258355,-0.9414,-43.13307017481767,0.1273666672046329,8.624457692354747,0.793045143922259,-38.60733354447401,-0.9414,-39.491601361028835
3,0.06,-0.3021598788732993,-15.98428309123041,-0.6232762816644153,38.19855946782231,0.9414,40.03780858184815,0.1562958054586979,8.303891926846212,-0.689277005836334,37.46523329337682,0.9414,40.65727794445293,-0.2031872492320437,-14.582609594356217,0.7466589041715521,-39.29526774700643,-0.9414,-43.133070174885574,0.12739988847694259,8.618014995209819,0.7933594449231378,-38.60567912608006,-0.9414,-39.490273563419976
4,0.08,-0.30227472517756004,-15.984283091231651,-0.6228579509424599,38.19193260356355,0.9414,40.03103519027782,0.15632588810229103,8.304156141814863,-0.6895481791391138,37.465230253705165,0.9414,40.65727794445293,-0.20324421266101966,-14.583419938486665,0.7467847360896497,-39.29439336392759,-0.9414,-43.13307017490056,0.12749573732443292,8.617896684180833,0.793591743261565,-38.60458442786155,-0.9414,-39.48993830446871
5,0.1,-0.3023948480269275,-15.984269294833616,-0.622325515412291,38.19193260356355,0.9414,40.026300712431976,0.15638013575980492,8.304486302227566,-0.6898124063857334,37.46523025369655,0.9414,40.65726265819426,-0.20333761002072698,-14.583419938486665,0.7470628887826003,-39.292391523108634,-0.9414,-43.13307017490505,0.12752691976994576,8.617153289149092,0.7939041480142013,-38.604132201819155,-0.9414,-39.48985593263232
6,0.12,-0.3025309667243292,-15.984170637946447,-0.6217811453525106,38.171979304291945,0.9414,40.02243470305532,0.15641738504177508,8.304486302227566,-0.6900522304722203,37.46523025369655,0.9414,40.65726265814764,-0.20342118874362022,-14.583552479767777,0.7473009205819046,-39.292391523108634,-0.9414,-43.133070174831026,0.12756801427984998,8.617115403125693,0.7942283635482349,-38.60384660573799,-0.9414,-39.48985593259774
7,0.14,-0.3026684357515375,-15.984041309176716,-0.6212911196296549,38.171979304291945,0.9414,40.01572583010897,0.15643994251540141,8.3049651178656,-0.690326424184392,37.4650649034952,0.9414,40.6572626581949,-0.2035097820221292,-14.583486859644557,0.7474567895216427,-39.290703331491144,-0.9414,-43.133070174751964,0.1276165646063913,8.61711540312473,0.7945200673503356,-38.60384231228244,-0.9414,-39.48985593259774
8,0.16,-0.30277099439591587,-15.983860713559631,-0.6210610611704778,38.15650855664419,0.9414,40.01291997199302,0.1565110391204396,8.305002096032563,-0.6905906456583611,37.465064903480744,0.9414,40.657262658222834,-0.20358317621643318,-14.583410708572607,0.7472706146815606,-39.290703331491144,-0.9414,-43.132726576389565,0.1276651149328731,8.617115403122575,0.794788250602872,-38.60356422464154,-0.9414,-39.489855932613494
9,0.18,-0.30289767388672445,-15.983837181798437,-0.6207511616230293,38.15175564006351,0.9414,40.009902143411416,0.1565504720993566,8.305165349407078,-0.6908547565245987,37.465063636252026,0.9414,40.65726265823079,-0.20366390911768395,-14.5833946795141,0.7471744248466894,-39.28708298859542,-0.9414,-43.129963964476694,0.12771366095028075,8.617115452488877,0.7950770071538101,-38.603416656641095,-0.9414,-39.489855932625964
10,0.2,-0.3030663007939585,-15.983758222064278,-0.6205506352478116,38.14250055955946,0.9414,40.00500649381836,0.15652683587731675,8.305688365752584,-0.6911178038974899,37.465063636252026,0.9414,40.65726265829285,-0.20373942104289486,-14.58337592773406,0.7470049377764902,-39.28708298859542,-0.9414,-43.129963964476694,0.12778692161799585,8.617101040624549,0.7953967886163804,-38.60329886517767,-0.9414,-39.489855932605735
11,0.22,-0.5161101753855815,-15.77289182594632,-0.8006655185623328,38.14250055955946,0.9414,40.2873357885155,0.4511043024388899,10.06184541941054,0.2417283600290001,39.7244328731243,0.9414,40.65726265829285,-0.31299566297742853,-13.237741591328623,0.7807752516177274,-39.30877175516644,-0.9414,-44.154492927859145,0.10840132981189513,9.409766539204185,0.5190249201113901,-38.237949919607416,-0.9414,-42.2642806516724
12,0.24,-0.5755392883933307,-15.919906350948677,-0.7625012435864349,39.81377515764432,0.9414,40.2873357885155,0.4987636983706186,10.06184541941054,-0.27820533730536495,46.014054139197945,0.9414,45.780058902380695,-0.22770962874628434,-11.92802797342098,0.883230560942377,-39.30877175516644,-0.9414,-45.34485597111983,0.0709698948126958,10.58640162024029,0.3351767875761216,-37.10865131454707,-0.7569559006520448,-50.05536076198301
13,0.26,-0.7387208375473931,-15.919906350948677,-0.6114736726639021,39.67300323584132,0.9414,40.318438295283485,0.29048255709024645,13.277058930429437,-0.4886496966718632,53.289036666759664,0.9414,45.780058902380695,-0.04655236944568178,-12.70069427332404,0.8974615163118461,-40.3121719265964,-0.9414,-45.70245164908754,0.07195219262967735,11.180885558330395,0.41427419474827665,-34.96553961249478,-0.7048284368217765,-53.35158696066644
