Time_Step,Time_s,FR_hip_torque,FR_knee_torque,FR_foot_torque,BR_hip_torque,BR_knee_torque,BR_foot_torque,BL_hip_torque,BL_knee_torque,BL_foot_torque,FL_hip_torque,FL_knee_torque,FL_foot_torque
0,0.0,0.3370898356490653,0.777486693270848,0.966768784817044,0.20936135036690387,0.8413622556948923,1.0382473591712686,0.27460456518658644,0.7764337516121327,1.0009177720775542,0.24318980731226336,0.826700840819004,1.0155868747131098
1,0.02,0.33695029480111455,0.7782127840912257,0.9668058086145082,0.20927169702608406,0.8414120469821482,1.0393855021977154,0.27438332751197686,0.7758275164041208,0.9971500988651885,0.24367688199968332,0.823901435856714,1.0155928903408276
2,0.04,0.3394241047251496,0.7780369976400435,0.9668407400768023,0.20918595751040064,0.8413962005478988,1.0387436634736613,0.27412742156308517,0.7752195942364216,0.9973365827007702,0.2441937944668004,0.8230905183506084,1.0132912087395956
3,0.06,0.33464947656792493,0.7774382155079131,0.9668435084246696,0.20920569333516637,0.8416446595570155,1.0412178042012659,0.2741614599490863,0.7752855334026916,0.9965817791978068,0.24432010508414592,0.8227528824261346,1.0156122484402523
4,0.08,0.33477203384323645,0.7771016734969002,0.9668390548407,0.20925780189155757,0.8419503532604684,1.0413536317746825,0.2742678452445327,0.7755395921276986,0.9971247798410774,0.2443446592399784,0.823072222989574,1.0156166620050855
5,0.1,0.3350386454450916,0.7766806329635403,0.9668456858142854,0.2092864928473186,0.8424927257478728,1.041743767710104,0.27432460878124426,0.7756534345496219,0.9974895426802298,0.24444014666118538,0.8232981085271508,1.0156241083257793
6,0.12,0.34080487997224845,0.7761448813465781,0.9668446502946497,0.2093417504654891,0.8451065388068877,1.0440249202908791,0.2766364289187469,0.7759256202068809,1.000985257501982,0.2444663552315557,0.8236066204556863,1.0125520487639001
7,0.14,0.34094220748877074,0.7756011257862262,0.9668458581523169,0.2093781938600214,0.8427188058315904,1.0375935927143844,0.28450353341082757,0.7761504016813082,1.0029784047480392,0.24078872751959382,0.8239364477715666,1.0103882371066306
8,0.16,0.3410805412804694,0.7751158763969361,0.9668484437620547,0.2093989582545169,0.84409147722158,1.039097888019855,0.2845925358252435,0.7762891668213603,1.0034859247495562,0.2412236408923345,0.824207693407694,1.0103984995829438
9,0.18,0.34056177551952327,0.7748942581092007,0.9668478313610972,0.20947094825595147,0.8443572484146076,1.0390762864484353,0.2846656504041198,0.7760795147238725,1.0034978123408598,0.24052730029878566,0.8244688347434727,1.0104337891080797
10,0.2,0.34130910232883965,0.7745849427449947,0.9668512071903831,0.20950841385506486,0.8436959543725202,1.037158138724523,0.28474671847658484,0.7759710988103499,1.003503528645556,0.24224888819597487,0.8247516872302486,1.0103377435244763
11,0.22,0.3414806312734846,0.7743855771191581,0.9668598643854363,0.20947919015769625,0.8458179523236703,1.0399566423917783,0.2832351541985443,0.775790775084241,1.0035030816858932,0.24472083385888696,0.8272681749068334,1.0132618551485104
12,0.24,0.5397569473124999,0.9724865575446765,0.9743259260286864,0.4772181880722834,0.46651369145791977,0.9802582143516503,0.41235346424489955,0.81942999508388,0.9806239028281921,0.20457190172093037,0.5275922270802516,0.5146996637074359
13,0.26,0.6155217477439091,0.926233653264646,0.9713062711270978,0.5317388533433174,0.5148400130971429,0.9751894576129002,0.30606192412317756,0.9266694811113303,0.9828642130344004,0.16625137929725603,0.34105405799741617,0.3569180303998434
14,0.28,0.7878382653584683,0.757269793516804,0.9653888847078296,0.3100889584455888,0.7043552988359179,0.7573736532225729,0.11343557541962138,0.936534470349081,1.000851847926653,0.17945486010156347,0.4294003320275926,0.7153686757548031
15,0.3,0.8081487046752476,0.7368854761620294,0.9524787885526048,0.2837932111408105,0.5810348155682307,0.6865572437613275,0.025091305967186298,0.8473322510674526,1.0070813554453817,0.25136122496930435,0.6534078704093946,0.9464193803457011
16,0.32,0.7101453699778506,0.7811094102696439,0.951974860447794,0.4031333488153575,0.520325709051598,0.918342721336782,0.10038580572394228,0.7386053548218697,1.0064306834232082,0.21231462423310438,0.6968510099446015,0.800203575957445
17,0.34,0.8946346363888181,0.7510110612144828,0.9474039199975168,0.31566412148870954,0.6834678211944901,0.8067149729266572,0.15301415092124634,0.7954019704140349,1.002260794793893,0.213913216172102,0.728362836264989,0.7594717540583051
18,0.36,0.7136694474205061,0.6702970485258037,0.959833869604151,0.44530945455248266,0.49359078679319346,0.90122515534025,0.25236044559270104,0.626846654283694,1.0085810667732593,0.16710751645272057,0.6609363863489688,0.567584239757139
19,0.38,0.6973734829716587,0.6850819379140498,0.9486473010214332,0.6424217022923696,0.5719430900364194,0.9099828205988446,0.33049576176233614,0.6852810612961919,1.0046788904313493,0.09615228371359079,0.5785695958147922,0.5587814658841641
20,0.4,0.7488702067662668,0.715154716430712,0.9492769678624178,0.5978108054834306,0.6105195588937734,0.8932665005632197,0.2855788564120767,0.7374398412843082,0.9930077813883669,0.1299680035883189,0.6252811178669855,0.5932271843100951
21,0.42,0.8035519724399244,0.7241390509266219,0.9540663960032028,0.5567861079732663,0.6287003110333843,0.8872534132670278,0.20776505790227262,0.7578346901159603,0.9924884987506726,0.18939704913251176,0.6569676676988283,0.6660814821538416
22,0.44,0.9141588208073351,0.7960506532156553,0.908023955045661,0.911563111599208,0.7590524658397069,0.9473129900268509,0.2903735528276104,0.6988886577479316,0.9800822130411084,0.13006640910795902,0.9362326040963795,0.7846327620730729
