Time_Step,Time_s,FR_hip_torque,FR_hip_angle_deg,FR_knee_torque,FR_knee_angle_deg,FR_foot_torque,FR_foot_angle_deg,BR_hip_torque,BR_hip_angle_deg,BR_knee_torque,BR_knee_angle_deg,BR_foot_torque,BR_foot_angle_deg,BL_hip_torque,BL_hip_angle_deg,BL_knee_torque,BL_knee_angle_deg,BL_foot_torque,BL_foot_angle_deg,FL_hip_torque,FL_hip_angle_deg,FL_knee_torque,FL_knee_angle_deg,FL_foot_torque,FL_foot_angle_deg
27,0.54,0.7302731927126473,-22.210792678480583,0.7015304040893267,37.42333799341486,0.8761569243505448,57.516479355081216,0.5845781925588764,33.3936708921625,0.8678619470394944,39.26776377119765,0.94479609365407,61.565821384647315,0.1669623198612308,-9.338075637529125,0.8613118105791551,-38.604802599337106,0.9776536325775835,-52.424256114561814,0.49467764512088314,13.360787383469768,0.8149292307506515,-39.38323092000347,0.9372913043361973,-55.6722589081948
28,0.56,0.6418791781426815,-22.210792678480583,0.7137816304275958,37.78816072377873,0.8685282781473049,57.516479355081216,0.7112790039825551,31.491504857947728,0.8519926554660915,39.26049790600661,0.9447356430386629,61.565821384647315,0.25912594404731054,-8.669558313837419,0.809666833306848,-38.25038924618443,0.5544248227332125,-49.661568030240204,0.34604063949479014,15.620268181166404,0.8532308884514629,-39.94501922603704,0.9362407158299559,-56.12294883061742
29,0.58,0.5903871328831153,-23.30397391222053,0.7147931701693778,37.800480870776695,0.8646830141981893,60.45143680368268,0.787416052337259,30.586811858931377,0.8160145631287007,39.162696537385266,0.9422423308245167,62.37252207276644,0.3032246573282572,-8.143252087979365,0.7527355903093832,-37.95965918219786,0.9913195301444147,-48.5633067048846,0.2516260501545107,16.525623098875663,0.8592054483341172,-39.94501922603704,0.9377956455073881,-56.18158595317013
30,0.6,0.5903896287752846,-23.30397391222053,0.7101169121416006,37.85478103426183,0.8648654401025888,61.185556059612686,0.7927225030830732,30.465220635516133,0.8166513544803352,39.162052638717185,0.9411185240707255,62.514547676142,0.2885952685197465,-8.112525929265034,0.7479616063034985,-37.879394869021816,0.9887653866932538,-48.188943444762266,0.2529529453030143,16.525623098875663,0.857878260130049,-40.29290470470656,0.9497120716925097,-56.03484005410828
31,0.62,0.6372275732553162,-25.35746626984328,0.71649535561417,37.30633258984506,0.8676301516327333,63.802451723889064,0.7428684900061749,29.637798545401044,0.8219681317629456,39.558928654266126,0.9409922968889867,64.59491444369233,0.2510290415966108,-8.362871590576454,0.7685055708349972,-39.580349844353854,0.9742199068624412,-48.188943444762266,0.29913113205429653,16.829537681937012,0.8445475973570524,-41.345802424705255,0.9511039029360504,-56.07702452889757
32,0.64,0.42370696339214,-25.35746626984328,0.33820159435682473,34.117050494405035,0.37761236538702575,68.49492475427583,0.8752810486409038,27.68824895211279,0.8518546988101894,39.573449105810035,0.9016510157232834,65.48672916851989,0.3558889589929209,-13.78389421690184,0.44067471837559385,-49.392897521397586,0.9105948688749843,-55.3189330890797,0.4366580054483787,17.6215732867712,0.985105372426997,-42.10411889001311,0.9542396671512463,-55.89471349091737
33,0.66,0.2902809305693591,-28.659556048380903,0.23187697470591398,33.588183566113415,0.43475763644911825,69.40001312475788,0.7031406723075022,28.737495758174866,0.9767703750442811,40.542894718840635,0.8567852402059796,66.50318148517617,0.3000071377592819,-15.404031064950374,0.3770498410899185,-52.61757392975176,0.4387742810076178,-60.74808292717759,0.39051155283007044,17.6215732867712,0.96287249188508,-41.76774612204608,0.9617826057295089,-54.45359164680437
34,0.68,0.4484342155904345,-28.17097881918417,0.3457620819498901,33.61893055547093,0.47098433612878865,70.62404956288428,0.5136870136701078,29.66460254558839,0.9749932025406439,40.604582247444995,0.9029707251487211,66.95502897281948,0.16317038644632775,-16.46348437395941,0.4508669695986009,-54.815231098590345,0.5456316442199489,-68.83881995898359,0.3698360328323873,18.264636768946307,0.8909739686295549,-41.074065250545694,0.965902951281248,-54.0873400028372
35,0.7,0.49937586342906015,-28.01217908896646,0.41701482251028626,34.25765633367963,0.5238108126838877,70.57285877159863,0.5229848501861816,29.792417159766693,0.9190685782284931,40.23235308324139,0.9355693780446082,66.76661924487462,0.20676836005367447,-16.621125254314325,0.4680144173885581,-55.24157140317432,0.5917782501538436,-71.85583012006828,0.4421363446747032,18.04707070440933,0.8529135449975859,-40.88738666052751,0.9608036256935693,-53.57431717554343
36,0.72,0.4743860414393572,-28.985271591264002,0.38931309535667996,34.25765633367963,0.5770232079066989,70.41956455635841,0.530396961298239,29.42536869211845,0.9013949034773542,40.37445262946681,0.9400765602325152,66.63057612113862,0.24099325506635175,-20.396252463264847,0.36320813069622,-56.55523807285487,0.38576657021929794,-72.86313183514262,0.4573154601271153,17.861911328433425,0.8850891326787612,-40.98788029463704,0.9468163363517074,-54.54073163460543
37,0.74,0.5101947679250538,-29.40997661725088,0.3786973741137074,34.18319490951252,0.6377975886608883,70.41956455635841,0.45499290670089176,28.573825151259037,0.9221415151469001,40.35554152535031,0.9102876787423458,66.49303012717232,0.45776920548791156,-21.126931256526554,0.39566782980866705,-56.74235383137242,0.8248530106557255,-72.86313183514262,0.7566097697619013,17.227805040754294,0.9175238979954796,-40.98788029463704,0.9403178212484529,-55.076360260645316
