Time_Step,Time_s,FR_hip_command,FR_hip_state,FR_knee_command,FR_knee_state,FR_foot_command,FR_foot_state,BR_hip_command,BR_hip_state,BR_knee_command,BR_knee_state,BR_foot_command,BR_foot_state,BL_hip_command,BL_hip_state,BL_knee_command,BL_knee_state,BL_foot_command,BL_foot_state,FL_hip_command,FL_hip_state,FL_knee_command,FL_knee_state,FL_foot_command,FL_foot_state
0,0.1,-19.274387356634314,-15.984261274788182,31.33579894564477,38.17669067452307,69.84580756625935,40.02243470305532,10.007979801441346,8.30471520853818,29.895677214181863,37.46506490349987,61.792656183251545,40.65726265814258,-16.792509120984707,-14.583552479767777,-31.095640295429217,-39.2911999493528,-68.12058960225296,-43.13307017487576,10.007979801441346,8.617130816285385,-29.895677214181838,-38.603895685823986,-61.792656183251516,-39.48985593259769
1,0.2,-21.864302742664176,-15.983483820456021,31.512853632058484,39.47839182294685,71.38298164287926,40.15040448787757,18.434948822922006,8.767472722871227,52.129275126605485,39.7244328731243,82.245347928628,45.780058902380695,-14.420773127510978,-14.462343181917815,-30.782180240859578,-39.127050528716396,-66.20534992257402,-43.98779102836142,12.159595728526515,9.122254183982736,-30.385445910816152,-38.237949919607416,-64.09731896322955,-42.2642806516724
2,0.3,-24.55820344158342,-13.896720425620584,31.637137343341763,38.35088683150568,72.7335172791449,41.44774435163916,28.30075576600637,15.20305581875383,53.52162505473767,57.03661883676564,87.60991751917456,67.54229047577167,-12.159595728526515,-13.41426566614042,-30.38544591081618,-38.90598837655763,-64.09731896322957,-43.60454843093961,14.420773127510978,12.272329665023744,-30.782180240859578,-36.88395744020584,-66.20534992257402,-56.01471303966186
3,0.4,-27.349875780069883,-15.881472951849995,31.71893315908164,37.68704055138569,73.89841657493318,42.63705971078812,39.289406862500364,21.880144287776634,31.808256212764075,47.28186396236923,76.71358979582982,70.86551804433128,-10.007979801441346,-10.211156050394308,-29.895677214181838,-37.84626236614897,-61.792656183251516,-42.56662882443205,16.792509120984707,14.071263237145274,-31.095640295429217,-37.391859197302374,-68.12058960225296,-60.730894722370444
4,0.5,-30.23080146970835,-22.210792678480583,31.768202504636474,37.14619203935617,74.8784037270811,56.27239417345111,39.289406862500364,34.12291001234441,31.808256212764075,38.70534743802975,76.71358979582982,60.427228805065866,-10.007979801441346,-10.018624365493052,-29.895677214181838,-38.087617975710415,-61.792656183251516,-52.96521418072865,19.274387356634314,13.181467096296677,-31.33579894564477,-38.802627174774514,-69.84580756625935,-55.13219114977933
5,0.6,-33.190117042971735,-23.56945664220967,31.79424539913732,37.30633258984506,75.67401264797442,63.802451723889064,36.214701282115406,30.45204660955574,31.80531995136064,39.16229884243775,76.2856427651633,62.856568083656555,-18.434948822922006,-8.362871590576454,-52.129275126605485,-38.082065209772075,-82.24534792862798,-54.49817495201713,21.864302742664176,16.810692910174833,-31.512853632058512,-40.71414373226857,-71.38298164287927,-56.13394083767047
6,0.7,-36.21470128211538,-28.985271591264002,31.80531995136064,34.14493051993261,76.2856427651633,70.4321301321891,33.190117042971735,29.592734817644306,31.79424539913732,40.356739747098665,75.67401264797442,66.47708627335149,-28.30075576600637,-17.590514911521772,-53.52162505473767,-56.55523807285487,-87.60991751917459,-72.86313183514262,24.55820344158342,17.861911328433425,-31.637137343341738,-40.98788029463704,-72.73351727914493,-53.87473604696371
7,0.8,-39.289406862500364,-30.52756521018153,31.808256212764075,34.331800175529416,76.71358979582982,70.44753490825877,30.230801469708375,26.244809611453192,31.768202504636474,39.847578322254314,74.8784037270811,66.45066212857358,-39.289406862500364,-21.297429998603654,-31.808256212764075,-55.26764051060878,-76.71358979582979,-76.19524715804143,27.349875780069883,16.601893288111185,-31.718933159081615,-41.73969325204115,-73.89841657493315,-55.800191057519264
8,0.9,-39.289406862500364,-33.704350338421264,31.808256212764075,37.378126702089446,76.71358979582982,69.6787367387494,27.349875780069883,24.820125212395624,31.71893315908164,36.58849275421275,73.89841657493318,68.16005143929566,-39.289406862500364,-28.35490433543921,-31.808256212764075,-39.47222213754694,-76.71358979582979,-65.04362723750053,30.23080146970835,20.124086451945153,-31.76820250463645,-39.27910406231583,-74.87840372708108,-62.38151441692003
9,1.0,-28.30075576600637,-33.62772398904712,53.52162505473762,38.13500647358246,87.60991751917456,67.97427975358629,24.558203441583448,24.503834502398885,31.637137343341763,37.39607739960099,72.7335172791449,67.1809274167751,-36.214701282115406,-28.210999697619645,-31.80531995136064,-39.47567581821257,-76.2856427651633,-66.17583182353289,33.190117042971735,22.35346507301048,-31.79424539913732,-39.826936824023065,-75.67401264797442,-65.85961911798745
