frame_idx,sim_time_s,peak_joint,peak_value
0,2.4100,br_foot,1.0394
1,2.4430,br_foot,1.0412
2,2.4760,br_foot,1.0417
3,2.5090,br_foot,1.0440
4,2.5420,br_foot,1.0391
5,2.5750,br_foot,1.0372
6,2.6080,br_foot,1.0400
7,2.6410,bl_foot,-0.9829
8,2.6740,bl_foot,-1.0009
9,2.7070,bl_foot,-1.0064
10,2.7400,bl_foot,-1.0086
11,2.7730,bl_foot,-1.0047
12,2.8060,bl_foot,-0.9925
13,2.8390,br_foot,0.9683
14,2.8720,br_foot,0.9758
15,2.9050,fl_foot,-0.9540
16,2.9380,br_foot,0.9447
17,2.9710,bl_foot,-0.9913
18,3.0040,bl_foot,-0.9742
19,3.0370,br_knee,-0.9768
20,3.0700,br_knee,-0.9750
21,3.1030,fl_foot,-0.9468
22,3.1360,fl_knee,0.9658
23,3.1690,fl_knee,0.9665
24,3.2020,br_knee,-0.9532
25,3.2350,fl_hip,1.0396
26,3.2680,bl_hip,-0.9682
27,3.3010,fl_foot,-0.9009
28,3.3340,bl_foot,-0.8922
29,3.3670,bl_hip,-0.9485
30,3.4000,bl_hip,-0.9698
31,3.4330,br_knee,-1.0169
32,3.4660,br_knee,-0.9910
33,3.4990,br_knee,-0.9200
34,3.5320,br_knee,-0.9000
35,3.5650,br_knee,-0.9247
36,3.5980,br_knee,-0.9266
37,3.6310,br_foot,0.9574
38,3.6640,fl_foot,-0.6395
39,3.6970,br_foot,0.6064
40,3.7300,br_foot,0.5679
41,3.7630,fl_foot,-0.5610
42,3.7960,fl_foot,-0.5754
43,3.8290,bl_knee,0.6742
44,3.8620,bl_knee,0.6121
45,3.8950,fr_knee,-0.5097
46,3.9280,fr_knee,-0.5604
47,3.9610,fr_knee,-0.5554
48,3.9940,fr_knee,-0.5163
49,4.0270,fr_knee,-0.4516
50,4.0600,fr_foot,0.3280
51,4.0930,fr_foot,0.2960
52,4.1260,fr_foot,0.3503
53,4.1590,fl_knee,0.3005
54,4.1920,fl_knee,0.3022
55,4.2250,fr_knee,-0.5284
56,4.2580,fr_knee,-0.5650
57,4.2910,bl_knee,0.5398
58,4.3240,bl_knee,0.4962
59,4.3570,bl_knee,0.5153
60,4.3900,bl_knee,0.5170
61,4.4230,bl_knee,0.4085
62,4.4560,bl_foot,-0.2893
63,4.4890,br_knee,-0.2889
64,4.5220,bl_knee,0.3323
65,4.5550,bl_knee,0.3275
66,4.5880,bl_knee,0.3281
67,4.6210,fl_knee,0.4125
68,4.6540,fl_knee,0.4913
69,4.6870,br_knee,-0.4888
70,4.7200,fl_knee,0.4435
71,4.7530,br_knee,-0.3895
72,4.7860,br_knee,-0.4164
73,4.8190,fl_hip,0.3946
74,4.8520,br_knee,-0.2785
75,4.8850,bl_foot,-0.2271
76,4.9180,bl_knee,0.2557
77,4.9510,fl_hip,0.2622
78,4.9840,fl_hip,0.2630
79,5.0170,br_knee,-0.4152
80,5.0500,br_knee,-0.4337
81,5.0830,fl_knee,0.3436
82,5.1160,fl_knee,0.3937
83,5.1490,fl_knee,0.4061
84,5.1820,fl_knee,0.3028
85,5.2150,fl_knee,0.2845
86,5.2480,fl_knee,0.3594
87,5.2810,bl_foot,0.2045
88,5.3140,bl_foot,0.2032
89,5.3470,fr_knee,-0.1882
90,5.3800,fr_knee,-0.2052
91,5.4130,fr_knee,-0.1940
92,5.4460,fr_knee,-0.3725
93,5.4790,fr_knee,-0.2803
94,5.5120,bl_knee,0.2841
95,5.5450,fr_knee,-0.3307
96,5.5780,bl_knee,0.3163
97,5.6110,fr_knee,-0.3078
98,5.6440,fr_knee,-0.3229
99,5.6770,fl_knee,0.1505
100,5.7100,fl_knee,0.1781
101,5.7430,fr_knee,-0.1736
102,5.7760,fr_knee,-0.1790
103,5.8090,fl_knee,0.1753
104,5.8420,fr_knee,-0.4015
105,5.8750,bl_knee,0.4061
106,5.9080,bl_knee,0.3600
107,5.9410,bl_knee,0.3376
108,5.9740,bl_knee,0.3522
109,6.0070,bl_knee,0.3433
110,6.0400,bl_knee,0.2857
111,6.0730,bl_knee,0.2178
112,6.1060,bl_knee,0.2125
113,6.1390,bl_knee,0.2427
114,6.1720,bl_knee,0.2386
115,6.2050,bl_knee,0.2316
116,6.2380,fl_knee,0.4396
117,6.2710,br_knee,-0.4489
118,6.3040,br_knee,-0.4330
119,6.3370,fl_knee,0.3686
120,6.3700,br_knee,-0.3425
121,6.4030,br_knee,-0.3658
122,6.4360,fl_hip,0.2222
123,6.4690,br_knee,-0.2967
124,6.5020,fr_foot,-0.2027
125,6.5350,fr_hip,0.2244
126,6.5680,br_hip,-0.2305
127,6.6010,br_hip,-0.2366
128,6.6340,br_knee,-0.3911
129,6.6670,fl_knee,0.3315
130,6.7000,fl_knee,0.3296
131,6.7330,fl_knee,0.3693
132,6.7660,fl_knee,0.3452
133,6.7990,fl_knee,0.3076
134,6.8320,fl_knee,0.3358
135,6.8650,bl_foot,0.2350
136,6.8980,bl_foot,0.1874
137,6.9310,bl_foot,0.1999
138,6.9640,fr_knee,-0.1901
139,6.9970,fr_knee,-0.1829
140,7.0300,fr_knee,-0.3665
141,7.0630,bl_knee,0.2667
142,7.0960,bl_knee,0.2759
143,7.1290,fr_knee,-0.3316
144,7.1620,bl_knee,0.3163
145,7.1950,bl_knee,0.3195
146,7.2280,fr_knee,-0.3054
147,7.2610,br_knee,-0.1597
148,7.2940,fl_knee,0.1721
149,7.3270,br_knee,-0.1635
150,7.3600,fr_knee,-0.1775
151,7.3930,fr_knee,-0.1783
152,7.4260,fr_knee,-0.3622
153,7.4590,bl_knee,0.3982
154,7.4920,bl_knee,0.4067
155,7.5250,bl_knee,0.3286
156,7.5580,bl_knee,0.3790
157,7.5910,bl_knee,0.3531
158,7.6240,bl_knee,0.2779
159,7.6570,bl_knee,0.2205
160,7.6900,bl_knee,0.1846
161,7.7230,bl_knee,0.2509
162,7.7560,bl_knee,0.2390
163,7.7890,bl_knee,0.2328
164,7.8220,fl_knee,0.3619
165,7.8550,fl_knee,0.4385
166,7.8880,br_knee,-0.4417
167,7.9210,br_knee,-0.3869
168,7.9540,br_knee,-0.3451
169,7.9870,br_knee,-0.3490
170,8.0200,fl_hip,0.3764
171,8.0530,fr_knee,-0.4266
172,8.0860,fr_foot,-0.2091
173,8.1190,br_hip,-0.2196
174,8.1520,fr_hip,0.2204
175,8.1850,br_hip,-0.2418
176,8.2180,br_knee,-0.3690
177,8.2510,br_knee,-0.3971
178,8.2840,fl_knee,0.3287
179,8.3170,fl_knee,0.3656
180,8.3500,fl_knee,0.3738
181,8.3830,fl_knee,0.2746
182,8.4160,fl_knee,0.2602
183,8.4490,fl_knee,0.3389
184,8.4820,bl_foot,0.2044
185,8.5150,bl_foot,0.1971
186,8.5480,fr_knee,-0.1778
187,8.5810,fr_knee,-0.1921
188,8.6140,fr_knee,-0.3287
189,8.6470,fr_knee,-0.3736
190,8.6800,fr_knee,-0.2863
191,8.7130,fr_knee,-0.3357
192,8.7460,fr_knee,-0.3322
193,8.7790,bl_knee,0.3145
194,8.8120,fr_knee,-0.3100
195,8.8450,fr_knee,-0.3351
196,8.8780,fl_knee,0.1466
197,8.9110,fl_knee,0.1756
198,8.9440,fr_knee,-0.1751
199,8.9770,fr_knee,-0.1804
200,9.0100,fr_knee,-0.1789
201,9.0430,fr_knee,-0.4131
202,9.0760,bl_knee,0.4047
203,9.1090,bl_knee,0.3221
204,9.1420,bl_knee,0.3312
205,9.1750,bl_knee,0.3565
206,9.2080,bl_knee,0.3431
207,9.2410,bl_knee,0.2888
208,9.2740,bl_knee,0.2180
209,9.3070,bl_knee,0.2150
210,9.3400,bl_knee,0.2456
211,9.3730,bl_knee,0.2300
212,9.4060,bl_knee,0.2393
213,9.4390,fl_knee,0.4407
214,9.4720,br_knee,-0.4464
215,9.5050,br_knee,-0.3880
216,9.5380,fl_knee,0.3717
217,9.5710,br_knee,-0.3467
218,9.6040,br_knee,-0.3695
219,9.6370,fl_hip,0.2267
220,9.6700,br_knee,-0.3047
221,9.7030,fr_foot,-0.2076
222,9.7360,br_hip,-0.2232
223,9.7690,br_hip,-0.2129
224,9.8020,br_hip,-0.2449
225,9.8350,br_knee,-0.3685
226,9.8680,fl_knee,0.3229
227,9.9010,fl_knee,0.3347
228,9.9340,fl_knee,0.3748
229,9.9670,fl_knee,0.3567
230,10.0000,fl_knee,0.2980
231,10.0330,fl_knee,0.2641
232,10.0660,bl_foot,0.2323
233,10.0990,bl_foot,0.1874
234,10.1320,bl_foot,0.1986
235,10.1650,fr_knee,-0.1918
236,10.1980,fr_knee,-0.1934
237,10.2310,fr_knee,-0.3693
238,10.2640,fr_knee,-0.3380
239,10.2970,bl_knee,0.2798
240,10.3300,fr_knee,-0.3344
241,10.3630,fr_knee,-0.3492
242,10.3960,bl_knee,0.3247
243,10.4290,fr_knee,-0.3269
244,10.4620,br_knee,-0.1614
245,10.4950,fl_knee,0.1808
246,10.5280,fl_knee,0.1906
247,10.5610,fl_knee,0.1890
248,10.5940,fl_knee,0.1902
249,10.6270,fl_knee,0.1896
250,10.6600,fl_knee,0.1897
251,10.6930,fl_knee,0.1897
252,10.7260,fl_knee,0.1897
253,10.7590,fl_knee,0.1880
254,10.7920,fl_knee,0.1889
255,10.8250,fl_knee,0.1887
256,10.8580,fl_knee,0.1915
257,10.8910,fl_knee,0.1883
258,10.9240,fl_knee,0.1881
259,10.9570,fl_knee,0.1880
260,10.9900,fl_knee,0.1880
261,11.0230,fl_knee,0.1880
262,11.0560,fl_knee,0.1880
263,11.0890,fl_knee,0.1880
264,11.1220,fl_knee,0.1881
265,11.1550,fl_knee,0.1882
266,11.1880,fl_knee,0.1882
267,11.2210,fl_knee,0.1883
268,11.2540,fl_knee,0.1884
269,11.2870,fl_knee,0.1884
270,11.3200,fl_knee,0.1885
271,11.3530,fl_knee,0.1886
272,11.3860,fl_knee,0.1887
273,11.4190,fl_knee,0.1888
274,11.4520,fl_knee,0.1889
275,11.4850,fl_knee,0.1889
276,11.5180,fl_knee,0.1890
277,11.5510,fl_knee,0.1891
278,11.5840,fl_knee,0.1891
279,11.6170,fl_knee,0.1892
280,11.6500,fl_knee,0.1893
281,11.6830,fl_knee,0.1894
282,11.7160,fl_knee,0.1895
283,11.7490,fl_knee,0.1895
284,11.7820,fl_knee,0.1896
285,11.8150,fl_knee,0.1897
286,11.8480,fl_knee,0.1898
287,11.8810,fl_knee,0.1899
288,11.9140,fl_knee,0.1900
289,11.9470,fl_knee,0.1900
290,11.9800,fl_knee,0.1901
291,12.0130,fl_knee,0.1901
292,12.0460,fl_knee,0.1901
293,12.0790,fl_knee,0.1901
294,12.1120,fl_knee,0.1901
295,12.1450,fl_knee,0.1901
296,12.1780,fl_knee,0.1901
297,12.2110,fl_knee,0.1901
298,12.2440,fl_knee,0.1895
299,12.2770,fl_knee,0.1893
300,12.3100,fl_knee,0.1892
301,12.3430,fl_knee,0.1891
302,12.3760,fl_knee,0.1891
303,12.4090,fl_knee,0.1891
304,12.4420,fl_knee,0.1891
305,12.4750,fl_knee,0.1891
306,12.5080,fl_knee,0.1892
307,12.5410,fl_knee,0.1892
308,12.5740,fl_knee,0.1893
309,12.6070,fl_knee,0.1893
310,12.6400,fl_knee,0.1894
311,12.6730,fl_knee,0.1895
312,12.7060,fl_knee,0.1895
313,12.7390,fl_knee,0.1895
314,12.7720,fl_knee,0.1894
315,12.8050,fl_knee,0.1884
316,12.8380,fl_knee,0.1888
317,12.8710,fl_knee,0.1887
318,12.9040,fl_knee,0.1886
319,12.9370,fl_knee,0.1885
320,12.9700,fl_knee,0.1885
321,13.0030,fl_knee,0.1885
322,13.0360,fl_knee,0.1885
323,13.0690,fl_knee,0.1886
324,13.1020,fl_knee,0.1885
325,13.1350,fl_knee,0.1880
326,13.1680,fl_knee,0.1879
327,13.2010,fl_knee,0.1877
328,13.2340,fl_knee,0.1876
329,13.2670,fl_knee,0.1876
330,13.3000,fl_knee,0.1869
331,13.3330,fl_knee,0.1867
332,13.3660,fl_knee,0.1866
333,13.3990,fl_knee,0.1865
334,13.4320,fl_knee,0.1865
335,13.4650,fl_knee,0.1865
336,13.4980,fl_knee,0.1865
337,13.5310,fl_knee,0.1865
338,13.5640,fl_knee,0.1865
339,13.5970,fl_knee,0.1865
340,13.6300,fl_knee,0.1866
341,13.6630,fl_knee,0.1866
342,13.6960,fl_knee,0.1859
343,13.7290,fl_knee,0.1858
344,13.7620,fl_knee,0.1856
345,13.7950,fl_knee,0.1855
346,13.8280,fl_knee,0.1855
347,13.8610,fl_knee,0.1850
348,13.8940,fl_knee,0.1848
349,13.9270,fl_knee,0.1848
350,13.9600,fl_knee,0.1847
351,13.9930,fl_knee,0.1846
352,14.0260,fl_knee,0.1846
353,14.0590,fl_knee,0.1845
354,14.0920,fl_knee,0.1846
355,14.1250,fl_knee,0.1846
356,14.1580,fl_knee,0.1846
357,14.1910,fl_knee,0.1847
358,14.2240,fl_knee,0.1847
359,14.2570,fl_knee,0.1848
360,14.2900,fl_knee,0.1849
361,14.3230,fl_knee,0.1849
362,14.3560,fl_knee,0.1850
363,14.3890,fl_knee,0.1850
364,14.4220,fl_knee,0.1851
365,14.4550,fl_knee,0.1851
366,14.4880,fl_knee,0.1851
367,14.5210,fl_knee,0.1852
368,14.5540,fl_knee,0.1852
369,14.5870,fl_knee,0.1852
370,14.6200,fl_knee,0.1874
371,14.6530,fl_knee,0.1836
372,14.6860,fl_knee,0.1835
373,14.7190,fl_knee,0.1835
374,14.7520,fl_knee,0.1835
375,14.7850,fl_knee,0.1835
376,14.8180,fl_knee,0.1836
377,14.8510,fl_knee,0.1836
378,14.8840,fl_knee,0.1837
379,14.9170,fl_knee,0.1838
380,14.9500,fl_knee,0.1838
381,14.9830,fl_knee,0.1839
382,15.0160,fl_knee,0.1840
383,15.0490,fl_knee,0.1840
384,15.0820,fl_knee,0.1841
385,15.1150,fl_knee,0.1842
386,15.1480,fl_knee,0.1843
387,15.1810,fl_knee,0.1843
388,15.2140,fl_knee,0.1844
389,15.2470,fl_knee,0.1844
390,15.2800,fl_knee,0.1845
391,15.3130,fl_knee,0.1846
392,15.3460,fl_knee,0.1846
393,15.3790,fl_knee,0.1847
394,15.4120,fl_knee,0.1847
395,15.4450,fl_knee,0.1847
396,15.4780,fl_knee,0.1846
397,15.5110,fl_knee,0.1845
398,15.5440,fl_knee,0.1841
399,15.5770,fl_knee,0.1838
400,15.6100,fl_knee,0.1837
401,15.6430,fl_knee,0.1835
402,15.6760,fl_knee,0.1834
403,15.7090,fl_knee,0.1834
404,15.7420,fl_knee,0.1833
405,15.7750,fl_knee,0.1833
406,15.8080,fl_knee,0.1833
407,15.8410,fl_knee,0.1834
408,15.8740,fl_knee,0.1829
409,15.9070,fl_knee,0.1827
410,15.9400,fl_knee,0.1825
411,15.9730,fl_knee,0.1824
412,16.0060,fl_knee,0.1823
413,16.0390,fl_knee,0.1822
414,16.0720,fl_knee,0.1815
415,16.1050,fl_knee,0.1814
416,16.1380,fl_knee,0.1813
417,16.1710,fl_knee,0.1812
418,16.2040,fl_knee,0.1811
419,16.2370,fl_knee,0.1811
420,16.2700,fl_knee,0.1810
421,16.3030,fl_knee,0.1810
422,16.3360,fl_knee,0.1841
423,16.3690,fl_knee,0.1811
424,16.4020,fl_knee,0.1860
425,16.4350,fl_knee,0.1795
426,16.4680,fl_knee,0.1796
427,16.5010,fl_knee,0.1791
428,16.5340,fl_knee,0.1788
429,16.5670,fl_knee,0.1889
430,16.6000,fl_knee,0.1785
431,16.6330,fl_knee,0.1784
432,16.6660,fl_knee,0.1782
433,16.6990,fl_knee,0.1782
434,16.7320,fl_knee,0.1782
435,16.7650,fl_knee,0.1782
436,16.7980,fl_knee,0.1783
437,16.8310,fl_knee,0.1783
438,16.8640,fl_knee,0.1784
439,16.8970,fl_knee,0.1784
440,16.9300,fl_knee,0.1785
441,16.9630,fl_knee,0.1786
442,16.9960,fl_knee,0.1786
443,17.0290,fl_knee,0.1787
444,17.0620,fl_knee,0.1787
445,17.0950,fl_knee,0.1788
446,17.1280,fl_knee,0.1789
447,17.1610,fl_knee,0.1790
448,17.1940,fl_knee,0.1790
449,17.2270,fl_knee,0.1809
450,17.2600,fl_knee,0.1832
451,17.2930,fl_knee,0.1830
452,17.3260,fl_knee,0.1827
